name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"26K13012A, Socomec Sirco Load Break Switch 125A, 3 Pole, 415 V AC, Frame B3, Kit Type 1, Open Execution",Socomec,Factory Automation,Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 125A, 3 Pole, 415 V AC, Frame B3, Kit Type 1, Open Execution",26K13012A,,26K13012A,,5270.175,Piece,Unit,1,"26K13012A, Socomec Sirco Load Break Switch 125A, 3 Pole, 415 V AC, Frame B3, Kit Type 1, Open Execution",,,,,,Ampere/Current Rating,125 A,No. Of Poles,3 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713264803-Product-Screenshot 2024-04-16 162310.png,,,18%,,,,,,,,,1,1-2 Days,
"26K13016A, Socomec Sirco Load Break Switch 160A, 3 Pole, 415 V AC, Frame B3, Kit Type 1, Open Execution",Socomec,Factory Automation,Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 160A, 3 Pole, 415 V AC, Frame B3, Kit Type 1, Open Execution",26K13016A,,26K13016A,,6668.475,Piece,Unit,1,"26K13016A, Socomec Sirco Load Break Switch 160A, 3 Pole, 415 V AC, Frame B3, Kit Type 1, Open Execution",,,,,,Ampere/Current Rating,160 A,No. Of Poles,3 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713264803-Product-Screenshot 2024-04-16 162310.png,,,18%,,,,,,,,,1,1-2 Days,
"26K13019A, Socomec Sirco Load Break Switch 200A, 3 Pole, 415 V AC, Frame B3, Kit Type 1, Open Execution",Socomec,Factory Automation,Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 200A, 3 Pole, 415 V AC, Frame B3, Kit Type 1, Open Execution",26K13019A,,26K13019A,,6929.55,Piece,Unit,1,"26K13019A, Socomec Sirco Load Break Switch 200A, 3 Pole, 415 V AC, Frame B3, Kit Type 1, Open Execution",,,,,,Ampere/Current Rating,200 A,No. Of Poles,3 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713264803-Product-Screenshot 2024-04-16 162310.png,,,18%,,,,,,,,,1,1-2 Days,
"26K13020A, Socomec Sirco Load Break Switch 200A, 3 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution",Socomec,Factory Automation,Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 200A, 3 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution",26K13020A,,26K13020A,,7580.025,Piece,Unit,1,"26K13020A, Socomec Sirco Load Break Switch 200A, 3 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution",,,,,,Ampere/Current Rating,200 A,No. Of Poles,3 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713264803-Product-Screenshot 2024-04-16 162310.png,,,18%,,,,,,,,,1,1-2 Days,
"26K13025A, Socomec Sirco Load Break Switch 250A, 3 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution",Socomec,Factory Automation,Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 250A, 3 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution",26K13025A,,26K13025A,,9845.625,Piece,Unit,1,"26K13025A, Socomec Sirco Load Break Switch 250A, 3 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution",,,,,,Ampere/Current Rating,250 A,No. Of Poles,3 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713264803-Product-Screenshot 2024-04-16 162310.png,,,18%,,,,,,,,,1,1-2 Days,
"26K13030A, Socomec Sirco Load Break Switch 315A, 3 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution",Socomec,Factory Automation,Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 315A, 3 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution",26K13030A,,26K13030A,,9925.275,Piece,Unit,1,"26K13030A, Socomec Sirco Load Break Switch 315A, 3 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution",,,,,,Ampere/Current Rating,315 A,No. Of Poles,3 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713264803-Product-Screenshot 2024-04-16 162310.png,,,18%,,,,,,,,,1,1-2 Days,
"26K13039A, Socomec Sirco Load Break Switch 400A, 3 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution",Socomec,Factory Automation,Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 400A, 3 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution",26K13039A,,26K13039A,,12336.9,Piece,Unit,1,"26K13039A, Socomec Sirco Load Break Switch 400A, 3 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution",,,,,,Ampere/Current Rating,400 A,No. Of Poles,3 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713264803-Product-Screenshot 2024-04-16 162310.png,,,18%,,,,,,,,,1,1-2 Days,
"26K13031A, Socomec Sirco Load Break Switch 315A, 3 Pole, 415 V AC, Frame B5, Kit Type 1, Open Execution",Socomec,Factory Automation,Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 315A, 3 Pole, 415 V AC, Frame B5, Kit Type 1, Open Execution",26K13031A,,26K13031A,,11934.23,Piece,Unit,1,"26K13031A, Socomec Sirco Load Break Switch 315A, 3 Pole, 415 V AC, Frame B5, Kit Type 1, Open Execution",,,,,,Ampere/Current Rating,315 A,No. Of Poles,3 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713264803-Product-Screenshot 2024-04-16 162310.png,,,18%,,,,,,,,,1,1-2 Days,
"26K13040A, Socomec Sirco Load Break Switch 400A, 3 Pole, 415 V AC, Frame B5, Kit Type 1, Open Execution",Socomec,Factory Automation,Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 400A, 3 Pole, 415 V AC, Frame B5, Kit Type 1, Open Execution",26K13040A,,26K13040A,,14593.65,Piece,Unit,1,"26K13040A, Socomec Sirco Load Break Switch 400A, 3 Pole, 415 V AC, Frame B5, Kit Type 1, Open Execution",,,,,,Ampere/Current Rating,400 A,No. Of Poles,3 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713264803-Product-Screenshot 2024-04-16 162310.png,,,18%,,,,,,,,,1,1-2 Days,
"26K13050A, Socomec Sirco Load Break Switch 500A, 3 Pole, 415 V AC, Frame B5, Kit Type 1, Open Execution",Socomec,Factory Automation,Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 500A, 3 Pole, 415 V AC, Frame B5, Kit Type 1, Open Execution",26K13050A,,26K13050A,,17655.75,Piece,Unit,1,"26K13050A, Socomec Sirco Load Break Switch 500A, 3 Pole, 415 V AC, Frame B5, Kit Type 1, Open Execution",,,,,,Ampere/Current Rating,500 A,No. Of Poles,3 Pole,Rated Voltage (V),415V AC,Type,Open Execution,,,,,,,,,,,,,,,1713264803-Product-Screenshot 2024-04-16 162310.png,,,18%,,,,,,,,,1,1-2 Days,
