id,name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
1921,"3VJ1010-0DA32-0AA0, Siemens 3VJ MCCB 100 A, 3 Pole, 10 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"MCCB 100 A, 3 Pole, 10 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)",3VJ1010-0DA32-0AA0,,3VJ1010-0DA32-0AA0,,2449.975,Piece,Unit,1,"3VJ1010-0DA32-0AA0, Siemens 3VJ MCCB 100 A, 3 Pole, 10 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)",,,,,,Rated Voltage (V),415V AC,Ampere/Current Rating,100 A,Breaking Capacity,10 kA,Current Setting Type,Fixed,No. Of Poles,3 Pole,Protection Type,O/L & S/C,Tripping Type,Thermal Magnetic,,,,,,,,,1713181437-Product-Screenshot 2024-04-15 171154.png,9153191413-3VJ1010-0DA32,,18%,,,,,,,,,1,1-2 Days,
1922,"3VJ1002-0DA32-0AA0, Siemens 3VJ MCCB 20 A, 3 Pole, 10 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"MCCB 20 A, 3 Pole, 10 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)",3VJ1002-0DA32-0AA0,,3VJ1002-0DA32-0AA0,,2449.975,Piece,Unit,1,"3VJ1002-0DA32-0AA0, Siemens 3VJ MCCB 20 A, 3 Pole, 10 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)",,,,,,Rated Voltage (V),415V AC,Ampere/Current Rating,20 A,Breaking Capacity,10 kA,Current Setting Type,Fixed,No. Of Poles,3 Pole,Protection Type,O/L & S/C,Tripping Type,Thermal Magnetic,,,,,,,,,1713181527-Product-Screenshot 2024-04-15 171432.png,8876751613-3VJ1002-0DA32,,18%,,,,,,,,,1,1-2 Days,
1923,"3VJ1002-3DB32-0AA0, Siemens 3VJ MCCB 20 A, 3 Pole, 25 kA, Adjustable O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (ATFM)",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"MCCB 20 A, 3 Pole, 25 kA, Adjustable O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (ATFM)",3VJ1002-3DB32-0AA0,,3VJ1002-3DB32-0AA0,,5425.64,Piece,Unit,1,"3VJ1002-3DB32-0AA0, Siemens 3VJ MCCB 20 A, 3 Pole, 25 kA, Adjustable O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (ATFM)",,,,,,Rated Voltage (V),415V AC,Ampere/Current Rating,20 A,Breaking Capacity,25 kA,Current Setting Type,Adjustable / Variable,No. Of Poles,3 Pole,Protection Type,O/L & S/C,Tripping Type,Thermal Magnetic,,,,,,,,,1713181575-Product-Screenshot 2024-04-15 171607.png,3026501988-3VJ1002-3DB32,,18%,,,,,,,,,1,1-2 Days,
1924,"3VJ1002-3DA22-0AA0, Siemens 3VJ MCCB 20 A, 2 Pole, 25 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"MCCB 20 A, 2 Pole, 25 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)",3VJ1002-3DA22-0AA0,,3VJ1002-3DA22-0AA0,,3277.45,Piece,Unit,1,"3VJ1002-3DA22-0AA0, Siemens 3VJ MCCB 20 A, 2 Pole, 25 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)",,,,,,Rated Voltage (V),415V AC,Ampere/Current Rating,20 A,Breaking Capacity,25 kA,Current Setting Type,Fixed,No. Of Poles,2 Pole,Protection Type,O/L & S/C,Tripping Type,Thermal Magnetic,,,,,,,,,1713181625-Product-Screenshot 2024-04-15 171653.png,8555506671-3VJ1002-3DA22,,18%,,,,,,,,,1,1-2 Days,
1925,"3VJ1002-1DA22-0AA0, Siemens 3VJ MCCB 20 A, 2 Pole, 18 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"MCCB 20 A, 2 Pole, 18 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)",3VJ1002-1DA22-0AA0,,3VJ1002-1DA22-0AA0,,2729.045,Piece,Unit,1,"3VJ1002-1DA22-0AA0, Siemens 3VJ MCCB 20 A, 2 Pole, 18 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)",,,,,,Rated Voltage (V),415V AC,Ampere/Current Rating,20 A,Breaking Capacity,18 kA,Current Setting Type,Fixed,No. Of Poles,2 Pole,Protection Type,O/L & S/C,Tripping Type,Thermal Magnetic,,,,,,,,,1713181661-Product-Screenshot 2024-04-15 171735.png,2894637698-3VJ1002-1DA22,,18%,,,,,,,,,1,1-2 Days,
1926,"3VJ1004-0DA32-0AA0, Siemens 3VJ MCCB 40 A, 3 Pole, 10 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"MCCB 40 A, 3 Pole, 10 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)",3VJ1004-0DA32-0AA0,,3VJ1004-0DA32-0AA0,,2449.975,Piece,Unit,1,"3VJ1004-0DA32-0AA0, Siemens 3VJ MCCB 40 A, 3 Pole, 10 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)",,,,,,Rated Voltage (V),415V AC,Ampere/Current Rating,40 A,Breaking Capacity,10 kA,Current Setting Type,Fixed,No. Of Poles,3 Pole,Protection Type,O/L & S/C,Tripping Type,Thermal Magnetic,,,,,,,,,1713181699-Product-Screenshot 2024-04-15 171812.png,4717381232-3VJ1004-0DA32,,18%,,,,,,,,,1,1-2 Days,
1927,"3VJ1002-3EB42-0AA0, Siemens 3VJ MCCB 20 A, 4 Pole, 25 kA, Adjustable O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (ATFM)",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"MCCB 20 A, 4 Pole, 25 kA, Adjustable O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (ATFM)",3VJ1002-3EB42-0AA0,,3VJ1002-3EB42-0AA0,,7194.165,Piece,Unit,1,"3VJ1002-3EB42-0AA0, Siemens 3VJ MCCB 20 A, 4 Pole, 25 kA, Adjustable O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (ATFM)",,,,,,Rated Voltage (V),415V AC,Ampere/Current Rating,20 A,Breaking Capacity,25 kA,Current Setting Type,Adjustable / Variable,No. Of Poles,4 Pole,Protection Type,O/L & S/C,Tripping Type,Thermal Magnetic,,,,,,,,,1713181742-Product-Screenshot 2024-04-15 171855.png,4194066948-3VJ1002-3EB42,,18%,,,,,,,,,1,1-2 Days,
1928,"3VJ1002-1EB42-0AA0, Siemens 3VJ MCCB 20 A, 4 Pole, 18 kA, Adjustable O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (ATFM)",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"MCCB 20 A, 4 Pole, 18 kA, Adjustable O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (ATFM)",3VJ1002-1EB42-0AA0,,3VJ1002-1EB42-0AA0,,6064.905,Piece,Unit,1,"3VJ1002-1EB42-0AA0, Siemens 3VJ MCCB 20 A, 4 Pole, 18 kA, Adjustable O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (ATFM)",,,,,,Rated Voltage (V),415V AC,Ampere/Current Rating,20 A,Breaking Capacity,18 kA,Current Setting Type,Adjustable / Variable,No. Of Poles,4 Pole,Protection Type,O/L & S/C,Tripping Type,Thermal Magnetic,,,,,,,,,1713181786-Product-Screenshot 2024-04-15 171939.png,7849652900-3VJ1002-1EB42,,18%,,,,,,,,,1,1-2 Days,
1929,"3VJ1002-1DB32-0AA0, Siemens 3VJ MCCB 20 A, 3 Pole, 18 kA, Adjustable O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (ATFM)",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"MCCB 20 A, 3 Pole, 18 kA, Adjustable O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (ATFM)",3VJ1002-1DB32-0AA0,,3VJ1002-1DB32-0AA0,,4721.475,Piece,Unit,1,"3VJ1002-1DB32-0AA0, Siemens 3VJ MCCB 20 A, 3 Pole, 18 kA, Adjustable O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (ATFM)",,,,,,Rated Voltage (V),415V AC,Ampere/Current Rating,20 A,Breaking Capacity,18 kA,Current Setting Type,Adjustable / Variable,No. Of Poles,3 Pole,Protection Type,O/L & S/C,Tripping Type,Thermal Magnetic,,,,,,,,,1713181832-Product-Screenshot 2024-04-15 172025.png,5445236489-3VJ1002-1DB32,,18%,,,,,,,,,1,1-2 Days,
1930,"3VJ1002-3EA42-0AA0, Siemens 3VJ MCCB 20 A, 4 Pole, 25 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)",Siemens,Panel & Panel Accessories,Low Voltage Switch Gear,MCCB,"MCCB 20 A, 4 Pole, 25 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)",3VJ1002-3EA42-0AA0,,3VJ1002-3EA42-0AA0,,5701.465,Piece,Unit,1,"3VJ1002-3EA42-0AA0, Siemens 3VJ MCCB 20 A, 4 Pole, 25 kA, Fixed O/L & Fixed S/C Settings, Thermal Magnetic Trip Unit (FTFM)",,,,,,Rated Voltage (V),415V AC,Ampere/Current Rating,20 A,Breaking Capacity,25 kA,Current Setting Type,Fixed,No. Of Poles,4 Pole,Protection Type,O/L & S/C,Tripping Type,Thermal Magnetic,,,,,,,,,1713181867-Product-Screenshot 2024-04-15 172056.png,1187384436-3VJ1002-3EA42,,18%,,,,,,,,,1,1-2 Days,
