name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
Dowell's MPG-7 Brass PG Cable Gland 2-5 mm,Dowell's,Panel & Panel Accessories,Cable Glands,Brass PG Cable Gland,2-5 mm Brass PG Cable Gland,MPG-7,,MPG-7,91.62,59.55,Piece,(1 Pack of 10 No),1,Dowell's MPG-7 Brass PG Cable Gland 2-5 mm,,,,,,Material,Brass,Type of Product,PG Cable Gland,Overall Diameter,2-5 mm,,,,,,,,,,,,,,,,,1721800802-Product-PG GLANDS.PNG,,,18%,,,,,,,,,10,4-6 Days,
Dowell's MPG-9 Brass PG Cable Gland 3-8 mm,Dowell's,Panel & Panel Accessories,Cable Glands,Brass PG Cable Gland,3-8 mm Brass PG Cable Gland,MPG-9,,MPG-9,119.07,77.4,Piece,(1 Pack of 5 No),1,Dowell's MPG-9 Brass PG Cable Gland 3-8 mm,,,,,,Material,Brass,Type of Product,PG Cable Gland,Overall Diameter,3-8 mm,,,,,,,,,,,,,,,,,1721800802-Product-PG GLANDS.PNG,,,18%,,,,,,,,,5,4-6 Days,
Dowell's MPG-11 Brass PG Cable Gland 4-10 mm,Dowell's,Panel & Panel Accessories,Cable Glands,Brass PG Cable Gland,4-10 mm Brass PG Cable Gland,MPG-11,,MPG-11,146.63,95.31,Piece,(1 Pack of 5 No),1,Dowell's MPG-11 Brass PG Cable Gland 4-10 mm,,,,,,Material,Brass,Type of Product,PG Cable Gland,Overall Diameter,4-10 mm,,,,,,,,,,,,,,,,,1721800802-Product-PG GLANDS.PNG,,,18%,,,,,,,,,5,4-6 Days,
Dowell's MPG-13.5 Brass PG Cable Gland 5-12 mm,Dowell's,Panel & Panel Accessories,Cable Glands,Brass PG Cable Gland,5-12 mm Brass PG Cable Gland,MPG-13.5,,MPG-13.5,191.84,124.7,Piece,(1 Pack of 5 No),1,Dowell's MPG-13.5 Brass PG Cable Gland 5-12 mm,,,,,,Material,Brass,Type of Product,PG Cable Gland,Overall Diameter,5-12 mm,,,,,,,,,,,,,,,,,1721800802-Product-PG GLANDS.PNG,,,18%,,,,,,,,,5,4-6 Days,
Dowell's MPG-16 Brass PG Cable Gland 8-14 mm,Dowell's,Panel & Panel Accessories,Cable Glands,Brass PG Cable Gland,8-14 mm Brass PG Cable Gland,MPG-16,,MPG-16,201.76,131.14,Piece,(1 Pack of 5 No),1,Dowell's MPG-16 Brass PG Cable Gland 8-14 mm,,,,,,Material,Brass,Type of Product,PG Cable Gland,Overall Diameter,8-14 mm,,,,,,,,,,,,,,,,,1721800802-Product-PG GLANDS.PNG,,,18%,,,,,,,,,5,4-6 Days,
Dowell's MPG-21 Brass PG Cable Gland 12-17 mm,Dowell's,Panel & Panel Accessories,Cable Glands,Brass PG Cable Gland,12-17 mm Brass PG Cable Gland,MPG-21,,MPG-21,336.26,218.57,Piece,(1 Pack of 3 No),1,Dowell's MPG-21 Brass PG Cable Gland 12-17 mm,,,,,,Material,Brass,Type of Product,PG Cable Gland,Overall Diameter,12-17 mm,,,,,,,,,,,,,,,,,1721800802-Product-PG GLANDS.PNG,,,18%,,,,,,,,,3,4-6 Days,
Dowell's MPG-29 Brass PG Cable Gland 16-25 mm,Dowell's,Panel & Panel Accessories,Cable Glands,Brass PG Cable Gland,16-25 mm Brass PG Cable Gland,MPG-29,,MPG-29,678.04,440.73,Piece,Each,1,Dowell's MPG-29 Brass PG Cable Gland 16-25 mm,,,,,,Material,Brass,Type of Product,PG Cable Gland,Overall Diameter,16-25 mm,,,,,,,,,,,,,,,,,1721800802-Product-PG GLANDS.PNG,,,18%,,,,,,,,,1,4-6 Days,
Dowell's MPG-36 Brass PG Cable Gland 20-32 mm,Dowell's,Panel & Panel Accessories,Cable Glands,Brass PG Cable Gland,20-32 mm Brass PG Cable Gland,MPG-36,,MPG-36,747.5,485.88,Piece,Each,1,Dowell's MPG-36 Brass PG Cable Gland 20-32 mm,,,,,,Material,Brass,Type of Product,PG Cable Gland,Overall Diameter,20-32 mm,,,,,,,,,,,,,,,,,1721800802-Product-PG GLANDS.PNG,,,18%,,,,,,,,,1,4-6 Days,
Dowell's MPG-42 Brass PG Cable Gland 28-37 mm,Dowell's,Panel & Panel Accessories,Cable Glands,Brass PG Cable Gland,28-37 mm Brass PG Cable Gland,MPG-42,,MPG-42,"1,476.25",959.56,Piece,Each,1,Dowell's MPG-42 Brass PG Cable Gland 28-37 mm,,,,,,Material,Brass,Type of Product,PG Cable Gland,Overall Diameter,28-37 mm,,,,,,,,,,,,,,,,,1721800802-Product-PG GLANDS.PNG,,,18%,,,,,,,,,1,4-6 Days,
Dowell's MPG-48 Brass PG Cable Gland 32-40 mm,Dowell's,Panel & Panel Accessories,Cable Glands,Brass PG Cable Gland,32-40 mm Brass PG Cable Gland,MPG-48,,MPG-48,"1,550.12",1007.58,Piece,Each,1,Dowell's MPG-48 Brass PG Cable Gland 32-40 mm,,,,,,Material,Brass,Type of Product,PG Cable Gland,Overall Diameter,32-40 mm,,,,,,,,,,,,,,,,,1721800802-Product-PG GLANDS.PNG,,,18%,,,,,,,,,1,4-6 Days,
Dowell's PG-7 Nylon PG Cable Gland 3.5-6 mm,Dowell's,Panel & Panel Accessories,Cable Glands,Nylon PG Cable Gland,3.5-6 mm Nylon PG Cable Gland,PG-7,,PG-7,23.15,15.05,Piece,(1 Pack of 50 No),1,Dowell's PG-7 Nylon PG Cable Gland 3.5-6 mm,,,,,,Material,Nylon,Type of Product,PG Cable Gland,Overall Diameter,3.5-6 mm,,,,,,,,,,,,,,,,,1721805395-Product-Nylon Galnd.PNG,,,18%,,,,,,,,,50,4-6 Days,
Dowell's PG-9 Nylon PG Cable Gland 4-8 mm,Dowell's,Panel & Panel Accessories,Cable Glands,Nylon PG Cable Gland,4-8 mm Nylon PG Cable Gland,PG-9,,PG-9,28.67,18.64,Piece,(1 Pack of 50 No),1,Dowell's PG-9 Nylon PG Cable Gland 4-8 mm,,,,,,Material,Nylon,Type of Product,PG Cable Gland,Overall Diameter,4-8 mm,,,,,,,,,,,,,,,,,1721805395-Product-Nylon Galnd.PNG,,,18%,,,,,,,,,50,4-6 Days,
