c1_category,c2_category,leaf_category
Servo System,Servo Motor,"Servo Motor, 3.5 kW, Rated Speed (rpm)-3000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 5.0 kW , Rated Speed (rpm)-3000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 2.0 kW , Rated Speed (rpm)-2000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 3.5 kW , Rated Speed (rpm)-2000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 5.0 kW , Rated Speed (rpm)-2000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 7.0 kW , Rated Speed (rpm)-2000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 0.5 kW , Rated Speed (rpm)-2000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 1.0 kW, Rated Speed (rpm)-2000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 1.75 kW , Rated Speed (rpm)-2000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 2.0 kW, Rated Speed (rpm)-2000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 3.0 kW, Rated Speed (rpm)-2000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 3.5 kW , Rated Speed (rpm)-3000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 5.0 kW , Rated Speed (rpm)-3000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 2.0 kW , Rated Speed (rpm)-2000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 3.5 kW , Rated Speed (rpm)-2000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 5.0 kW , Rated Speed (rpm)-2000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 7.0 kW, Rated Speed (rpm)-2000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 1.0 kW, Rated Speed (rpm)-3000, IP67, AC"
Servo System,Servo Motor,"Servo Motor, 1.5 kW, Rated Speed (rpm)-3000, IP67, AC"
Servo System,Servo Motor,"Servo Motor, 2.0 kW , Rated Speed (rpm)-3000, IP67, AC"
Servo System,Servo Motor,"Servo Motor, 3.5 kW , Rated Speed (rpm)-3000, IP67, AC"
Servo System,Servo Motor,"Servo Motor, 5.0 kW , Rated Speed (rpm)-3000, IP67, AC"
Servo System,Servo Motor,"Servo Motor, 7.0 kW , Rated Speed (rpm)-3000, IP67, AC"
Servo System,Servo Motor,"Servo Motor, 1.0 kW , Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, 1.5 kW, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, 2.0 kW , Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, 3.5 kW, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, 5.0 kW, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, 7.0 kW , Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, 1.0 kW, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, 1.5 kW , Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, 2.0 kW , Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, 3.5 kW , Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, 5.0 kW , Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, 7.0 kW , Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, 1.0 kW , Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, 1.5 kW , Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, 2.0 kW, Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, 3.5 kW , Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, 5.0 kW , Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, 7.0 kW , Rated Speed (rpm)-3000, 200 V, IP67"
Servo System,Servo Motor,"Servo Motor, 1.0 kW, Rated Speed (rpm)-3000, IP67, AC"
Servo System,Servo Motor,"Servo Motor, 1.5 kW , Rated Speed (rpm)-3000, IP67, AC"
Servo System,Servo Motor,"Servo Motor, 2.0 kW , Rated Speed (rpm)-3000, IP67, AC"
Servo System,Servo Motor,"Servo Motor, 3.5 kW , Rated Speed (rpm)-3000, IP67, AC"
Servo System,Servo Motor,"Servo Motor, 5.0 kW , Rated Speed (rpm)-3000, IP67, AC"
Servo System,Servo Motor,"Servo Motor, 7.0 kW , Rated Speed (rpm)-3000, IP67, AC"
Servo System,Servo Motor,"Servo Motor, 1.0 kW , Rated Speed (rpm)-3000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 1.5 kW, Rated Speed (rpm)-3000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 2.0 kW , Rated Speed (rpm)-3000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 3.5 kW , Rated Speed (rpm)-3000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 5.0 kW , Rated Speed (rpm)-3000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 7.0 kW , Rated Speed (rpm)-3000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 1.0 kW , Rated Speed (rpm)-3000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 1.5 kW , Rated Speed (rpm)-3000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 2.0 kW, Rated Speed (rpm)-3000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 3.5 kW , Rated Speed (rpm)-3000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 5.0 kW, Rated Speed (rpm)-3000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 7.0 kW , Rated Speed (rpm)-3000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 1.0 kW, Rated Speed (rpm)-3000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 1.5 kW , Rated Speed (rpm)-3000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 2.0 kW , Rated Speed (rpm)-3000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 3.5 kW , Rated Speed (rpm)-3000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 5.0 kW , Rated Speed (rpm)-3000, 400 V, IP67"
Servo System,Servo Motor,"Servo Motor, 7.0 kW, Rated Speed (rpm)-3000, 400 V, IP67"
