name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Dowell's 2S-ALS-1 - 2 Core, 25 Sq. mm Aluminium Sector Connectors, Size 25 Sq. mm ( Pack of 100 )",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Sector Connectors,25 Sq. mm Aluminium Sector Connectors,2S-ALS-1,,2S-ALS-1,567,368.55,Piece,(Pack of 100),1,"Dowell's 2S-ALS-1 - 2 Core, 25 Sq. mm Aluminium Sector Connectors, Size 25 Sq. mm",,,,,,Size,25 Sq.mm,Type of Core,2 Core,Material,Aluminium,Type of Product,Aluminium Sector Connector,,,,,,,,,,,,,,,1722230199-Product-AlUminium Sector Connectors 12569.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 2S-ALS-2 - 2 Core, 35 Sq. mm Aluminium Sector Connectors, Size 35 Sq. mm ( Pack of 100 )",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Sector Connectors,35 Sq. mm Aluminium Sector Connectors,2S-ALS-2,,2S-ALS-2,846,549.9,Piece,(Pack of 100),1,"Dowell's 2S-ALS-2 - 2 Core, 35 Sq. mm Aluminium Sector Connectors, Size 35 Sq. mm",,,,,,Size,35 Sq. mm,Type of Core,2 Core,Material,Aluminium,Type of Product,Aluminium Sector Connector,,,,,,,,,,,,,,,1722230199-Product-AlUminium Sector Connectors 12569.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 2S-ALS-3 - 2 Core, 50 Sq. mm Aluminium Sector Connectors, Size 50 Sq. mm ( Pack of 100 )",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Sector Connectors,50 Sq. mm Aluminium Sector Connectors,2S-ALS-3,,2S-ALS-3,1378,895.7,Piece,(Pack of 100),1,"Dowell's 2S-ALS-3 - 2 Core, 50 Sq. mm Aluminium Sector Connectors, Size 50 Sq. mm",,,,,,Size,50 Sq. mm,Type of Core,2 Core,Material,Aluminium,Type of Product,Aluminium Sector Connector,,,,,,,,,,,,,,,1722230199-Product-AlUminium Sector Connectors 12569.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 2S-ALS-4 - 2 Core, 70 Sq. mm Aluminium Sector Connectors, Size 70 Sq. mm ( Pack of 100 )",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Sector Connectors,70 Sq. mm Aluminium Sector Connectors,2S-ALS-4,,2S-ALS-4,2431,1580.15,Piece,(Pack of 100),1,"Dowell's 2S-ALS-4 - 2 Core, 70 Sq. mm Aluminium Sector Connectors, Size 70 Sq. mm",,,,,,Size,70 Sq. mm,Type of Core,2 Core,Material,Aluminium,Type of Product,Aluminium Sector Connector,,,,,,,,,,,,,,,1722230199-Product-AlUminium Sector Connectors 12569.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 2S-ALS-5 - 2 Core, 95 Sq. mm Aluminium Sector Connectors, Size 95 Sq. mm ( Pack of 50 )",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Sector Connectors,95 Sq. mm Aluminium Sector Connectors,2S-ALS-5,,2S-ALS-5,1766,1147.9,Piece,( Pack of 50 ),1,"Dowell's 2S-ALS-5 - 2 Core, 95 Sq. mm Aluminium Sector Connectors, Size 95 Sq. mm",,,,,,Size,95 Sq. mm,Type of Core,2 Core,Material,Aluminium,Type of Product,Aluminium Sector Connector,,,,,,,,,,,,,,,1722230199-Product-AlUminium Sector Connectors 12569.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 2S-ALS-6 - 2 Core, 120 Sq. mm Aluminium Sector Connectors, Size 120 Sq. mm ( Pack of 35 )",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Sector Connectors,120 Sq. mm Aluminium Sector Connectors,2S-ALS-6,,2S-ALS-6,1718.15,1116.798,Piece,( Pack of 35 ),1,"Dowell's 2S-ALS-6 - 2 Core, 120 Sq. mm Aluminium Sector Connectors, Size 120 Sq. mm",,,,,,Size,120 Sq. mm,Type of Core,2 Core,Material,Aluminium,Type of Product,Aluminium Sector Connector,,,,,,,,,,,,,,,1722230199-Product-AlUminium Sector Connectors 12569.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 2S-ALS-7 - 2 Core, 150 Sq. mm Aluminium Sector Connectors, Size 150 Sq. mm ( Pack of 50 )",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Sector Connectors,150 Sq. mm Aluminium Sector Connectors,2S-ALS-7,,2S-ALS-7,3340,2171,Piece,( Pack of 50 ),1,"Dowell's 2S-ALS-7 - 2 Core, 150 Sq. mm Aluminium Sector Connectors, Size 150 Sq. mm",,,,,,Size,150 Sq. mm,Type of Core,2 Core,Material,Aluminium,Type of Product,Aluminium Sector Connector,,,,,,,,,,,,,,,1722230199-Product-AlUminium Sector Connectors 12569.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 2S-ALS-8 - 2 Core, 185 Sq. mm Aluminium Sector Connectors, Size 185 Sq. mm ( Pack of 40 )",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Sector Connectors,185 Sq. mm Aluminium Sector Connectors,2S-ALS-8,,2S-ALS-8,3464,2251.6,Piece,( Pack of 40 ),1,"Dowell's 2S-ALS-8 - 2 Core, 185 Sq. mm Aluminium Sector Connectors, Size 185 Sq. mm",,,,,,Size,185 Sq. mm,Type of Core,2 Core,Material,Aluminium,Type of Product,Aluminium Sector Connector,,,,,,,,,,,,,,,1722230199-Product-AlUminium Sector Connectors 12569.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 2S-ALS-9 - 2 Core, 240 Sq. mm Aluminium Sector Connectors, Size 240 Sq. mm ( Pack of 20 )",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Sector Connectors,240 Sq. mm Aluminium Sector Connectors,2S-ALS-9,,2S-ALS-9,2755.2,1790.88,Piece,( Pack of 20 ),1,"Dowell's 2S-ALS-9 - 2 Core, 240 Sq. mm Aluminium Sector Connectors, Size 240 Sq. mm",,,,,,Size,240 Sq. mm,Type of Core,2 Core,Material,Aluminium,Type of Product,Aluminium Sector Connector,,,,,,,,,,,,,,,1722230199-Product-AlUminium Sector Connectors 12569.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 2S-ALS-10 - 2 Core, 300 Sq. mm Aluminium Sector Connectors, Size 300 Sq. mm ( Pack of 15 )",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Sector Connectors,300 Sq. mm Aluminium Sector Connectors,2S-ALS-10,,2S-ALS-10,2813.25,1828.613,Piece,( Pack of 15 ),1,"Dowell's 2S-ALS-10 - 2 Core, 300 Sq. mm Aluminium Sector Connectors, Size 300 Sq. mm",,,,,,Size,300 Sq. mm,Type of Core,2 Core,Material,Aluminium,Type of Product,Aluminium Sector Connector,,,,,,,,,,,,,,,1722230199-Product-AlUminium Sector Connectors 12569.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's 2S-ALS-11 - 2 Core, 400 Sq. mm Aluminium Sector Connectors, Size 400 Sq. mm ( Pack of 10 )",Dowell's,Panel & Panel Accessories,Thimbles,Aluminium Sector Connectors,400 Sq. mm Aluminium Sector Connectors,2S-ALS-11,,2S-ALS-11,2894.2,1881.23,Piece,( Pack of 10 ),1,"Dowell's 2S-ALS-11 - 2 Core, 400 Sq. mm Aluminium Sector Connectors, Size 400 Sq. mm",,,,,,Size,400 Sq. mm,Type of Core,2 Core,Material,Aluminium,Type of Product,Aluminium Sector Connector,,,,,,,,,,,,,,,1722230199-Product-AlUminium Sector Connectors 12569.PNG,,,18%,,,,,,,,,1,1-2 Days,
