c1_category,c2_category,leaf_category
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 125A, 3 Pole, 415 V AC, Frame B3, Kit Type 1, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 160A, 3 Pole, 415 V AC, Frame B3, Kit Type 1, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 200A, 3 Pole, 415 V AC, Frame B3, Kit Type 1, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 200A, 3 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 250A, 3 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 315A, 3 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 400A, 3 Pole, 415 V AC, Frame B4, Kit Type 1, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 315A, 3 Pole, 415 V AC, Frame B5, Kit Type 1, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 400A, 3 Pole, 415 V AC, Frame B5, Kit Type 1, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 500A, 3 Pole, 415 V AC, Frame B5, Kit Type 1, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 630A, 3 Pole, 415 V AC, Frame B5, Kit Type 1, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 800A, 3 Pole, 415 V AC, Frame B5, Kit Type 1, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 1000A, 3 Pole, 415 V AC, Frame B6, Kit Type 1, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 1250A, 3 Pole, 415 V AC, Frame B6, Kit Type 1, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 1250A, 3 Pole, 415 V AC, Frame B7, Kit Type 1, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 1600A, 3 Pole, 415 V AC, Frame B7, Kit Type 1, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 1800A, 3 Pole, 415 V AC, Frame B7, Kit Type 1, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 2000A, 3 Pole, 415 V AC, Frame B8, Kit Type 1, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 2500A, 3 Pole, 415 V AC, Frame B8, Kit Type 1, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 3200A, 3 Pole, 415 V AC, Frame B8, Kit Type 1, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 125A, 3 Pole, 415 V AC, Frame B3, Kit Type 2, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 160A, 3 Pole, 415 V AC, Frame B3, Kit Type 2, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 200A, 3 Pole, 415 V AC, Frame B3, Kit Type 2, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 200A, 3 Pole, 415 V AC, Frame B4, Kit Type 2, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 250A, 3 Pole, 415 V AC, Frame B4, Kit Type 2, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 315A, 3 Pole, 415 V AC, Frame B4, Kit Type 2, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 400A, 3 Pole, 415 V AC, Frame B4, Kit Type 2, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 315A, 3 Pole, 415 V AC, Frame B5, Kit Type 2, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 400A, 3 Pole, 415 V AC, Frame B5, Kit Type 2, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 500A, 3 Pole, 415 V AC, Frame B5, Kit Type 2, Open Execution"
Low Voltage Switch Gear,Load Break Switches,"Socomec Sirco Load Break Switch 630A, 3 Pole, 415 V AC, Frame B5, Kit Type 2, Open Execution"
