2 sheet,name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
8413,Polycab 0.75 Sq.mm X 5 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,62100,31671,Meter,(1 Pack of 100 No),1,Polycab 0.75 Sq.mm X 5 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.75 Sqmm,Pair,5 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,4957717696-Polycab-0.75,,18%,,,,,,,,,1,1-2 Days,
8414,Polycab 0.75 Sq.mm X 6 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,71800,36618,Meter,(1 Pack of 100 No),1,Polycab 0.75 Sq.mm X 6 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.75 Sqmm,Pair,6 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,9976842588-Polycab-0.75,,18%,,,,,,,,,1,1-2 Days,
8415,Polycab 0.75 Sq.mm X 7 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,79600,40596,Meter,(1 Pack of 100 No),1,Polycab 0.75 Sq.mm X 7 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.75 Sqmm,Pair,7 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,1519326311-Polycab-0.75,,18%,,,,,,,,,1,1-2 Days,
8416,Polycab 0.75 Sq.mm X 8 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,87400,44574,Meter,(1 Pack of 100 No),1,Polycab 0.75 Sq.mm X 8 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.75 Sqmm,Pair,8 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,6843753616-Polycab-0.75,,18%,,,,,,,,,1,1-2 Days,
8417,Polycab 0.75 Sq.mm X 10 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,54250,27667.5,Meter,(1 Pack of 50 No),1,Polycab 0.75 Sq.mm X 10 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.75 Sqmm,Pair,9 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,7632061001-Polycab-0.75,,18%,,,,,,,,,1,1-2 Days,
8418,Polycab 0.75 Sq.mm X 11 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,62350,31798.5,Meter,(1 Pack of 50 No),,Polycab 0.75 Sq.mm X 11 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.75 Sqmm,Pair,10 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,8176093647-Polycab-0.75,,18%,,,,,,,,,1,1-2 Days,
8419,Polycab 0.75 Sq.mm X 12 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,62350,31798.5,Meter,(1 Pack of 50 No),1,Polycab 0.75 Sq.mm X 12 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.75 Sqmm,Pair,11 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,8698685837-Polycab-0.75,,18%,,,,,,,,,1,1-2 Days,
8420,Polycab 0.75 Sq.mm X 14 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,71200,36312,Meter,(1 Pack of 50 No),1,Polycab 0.75 Sq.mm X 14 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.75 Sqmm,Pair,12 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,8083885488-Polycab-0.75,,18%,,,,,,,,,1,1-2 Days,
8421,Polycab 0.75 Sq.mm X 16 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,79350,40468.5,Meter,(1 Pack of 50 No),1,Polycab 0.75 Sq.mm X 16 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.75 Sqmm,Pair,14 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,6096395267-Polycab-0.75,,18%,,,,,,,,,1,1-2 Days,
8422,Polycab 0.75 Sq.mm X 19 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,92250,47047.5,Meter,(1 Pack of 50 No),1,Polycab 0.75 Sq.mm X 19 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.75 Sqmm,Pair,16 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,5841423374-Polycab-0.75,,18%,,,,,,,,,1,1-2 Days,
8423,Polycab 0.75 Sq.mm X 24 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,115450,58879.5,Meter,(1 Pack of 50 No),1,Polycab 0.75 Sq.mm X 24 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,0.75 Sqmm,Pair,19 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,3985013995-Polycab-0.75,,18%,,,,,,,,,1,1-2 Days,
8424,Polycab 1 Sq.mm X 1 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,22100,11271,Meter,(1 Pack of 100 No),1,Polycab 1 Sq.mm X 1 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,1 Sqmm,Pair,1 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,2470494136-Polycab-1-Sq.,,18%,,,,,,,,,1,1-2 Days,
8425,Polycab 1 Sq.mm X 2 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,37200,18972,Meter,(1 Pack of 100 No),1,Polycab 1 Sq.mm X 2 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,1 Sqmm,Pair,2 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,3734855546-Polycab-1-Sq.,,18%,,,,,,,,,1,1-2 Days,
8426,Polycab 1 Sq.mm X 3 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,48300,24633,Meter,(1 Pack of 100 No),1,Polycab 1 Sq.mm X 3 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,1 Sqmm,Pair,3 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,8670953870-Polycab-1-Sq.,,18%,,,,,,,,,1,1-2 Days,
8427,Polycab 1 Sq.mm X 4 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,60400,30804,Meter,(1 Pack of 100 No),1,Polycab 1 Sq.mm X 4 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,1 Sqmm,Pair,4 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,2229058682-Polycab-1-Sq.,,18%,,,,,,,,,1,1-2 Days,
8428,Polycab 1 Sq.mm X 5 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,72300,36873,Meter,(1 Pack of 100 No),1,Polycab 1 Sq.mm X 5 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,1 Sqmm,Pair,5 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,3318631766-Polycab-1-Sq.,,18%,,,,,,,,,1,1-2 Days,
8429,Polycab 1 Sq.mm X 6 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,84800,43248,Meter,(1 Pack of 100 No),1,Polycab 1 Sq.mm X 6 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,1 Sqmm,Pair,6 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,2737464249-Polycab-1-Sq.,,18%,,,,,,,,,1,1-2 Days,
8430,Polycab 1 Sq.mm X 7 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,94600,48246,Meter,(1 Pack of 100 No),1,Polycab 1 Sq.mm X 7 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,1 Sqmm,Pair,7 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,7303022534-Polycab-1-Sq.,,18%,,,,,,,,,1,1-2 Days,
8431,Polycab 1 Sq.mm X 8 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,52950,27004.5,Meter,(1 Pack of 50 No),1,Polycab 1 Sq.mm X 8 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,1 Sqmm,Pair,8 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,8881167511-Polycab-1-Sq.,,18%,,,,,,,,,1,1-2 Days,
8432,Polycab 1 Sq.mm X 10 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,64400,32844,Meter,(1 Pack of 50 No),1,Polycab 1 Sq.mm X 10 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,1 Sqmm,Pair,9 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,5019444448-Polycab-1-Sq.,,18%,,,,,,,,,1,1-2 Days,
8433,Polycab 1 Sq.mm X 11 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,75450,38479.5,Meter,(1 Pack of 50 No),,Polycab 1 Sq.mm X 11 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,1 Sqmm,Pair,10 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,5055396171-Polycab-1-Sq.,,18%,,,,,,,,,1,1-2 Days,
8434,Polycab 1 Sq.mm X 12 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,75450,38479.5,Meter,(1 Pack of 50 No),1,Polycab 1 Sq.mm X 12 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,1 Sqmm,Pair,11 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,4526401967-Polycab-1-Sq.,,18%,,,,,,,,,1,1-2 Days,
8435,Polycab 1 Sq.mm X 14 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,86250,43987.5,Meter,(1 Pack of 50 No),1,Polycab 1 Sq.mm X 14 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,1 Sqmm,Pair,12 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,9802558441-Polycab-1-Sq.,,18%,,,,,,,,,1,1-2 Days,
8436,Polycab 1 Sq.mm X 16 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,96950,49444.5,Meter,(1 Pack of 50 No),1,Polycab 1 Sq.mm X 16 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,1 Sqmm,Pair,14 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,2493818951-Polycab-1-Sq.,,18%,,,,,,,,,1,1-2 Days,
8437,Polycab 1 Sq.mm X 19 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,112850,57553.5,Meter,(1 Pack of 50 No),1,Polycab 1 Sq.mm X 19 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,1 Sqmm,Pair,16 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,6344765261-Polycab-1-Sq.,,18%,,,,,,,,,1,1-2 Days,
8438,Polycab 1 Sq.mm X 24 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,141050,71935.5,Meter,(1 Pack of 50 No),1,Polycab 1 Sq.mm X 24 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,1 Sqmm,Pair,19 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,9357088015-Polycab-1-Sq.,,18%,,,,,,,,,1,1-2 Days,
8439,Polycab 1.5 Sq.mm X 1 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,27400,13974,Meter,(1 Pack of 100 No),1,Polycab 1.5 Sq.mm X 1 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,1.5 Sqmm,Pair,1 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,2882748841-Polycab-1.5-S,,18%,,,,,,,,,1,1-2 Days,
8440,Polycab 1.5 Sq.mm X 2 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,48100,24531,Meter,(1 Pack of 100 No),1,Polycab 1.5 Sq.mm X 2 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,1.5 Sqmm,Pair,2 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,6825444007-Polycab-1.5-S,,18%,,,,,,,,,1,1-2 Days,
8441,Polycab 1.5 Sq.mm X 3 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,63300,32283,Meter,(1 Pack of 100 No),1,Polycab 1.5 Sq.mm X 3 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,1.5 Sqmm,Pair,3 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,4847032181-Polycab-1.5-S,,18%,,,,,,,,,1,1-2 Days,
8442,Polycab 1.5 Sq.mm X 4 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,79600,40596,Meter,(1 Pack of 100 No),1,Polycab 1.5 Sq.mm X 4 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,1.5 Sqmm,Pair,4 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,5818637518-Polycab-1.5-S,,18%,,,,,,,,,1,1-2 Days,
8443,Polycab 1.5 Sq.mm X 5 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,97500,49725,Meter,(1 Pack of 100 No),1,Polycab 1.5 Sq.mm X 5 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,1.5 Sqmm,Pair,5 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,2349987391-Polycab-1.5-S,,18%,,,,,,,,,1,1-2 Days,
8444,Polycab 1.5 Sq.mm X 6 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,56300,28713,Meter,(1 Pack of 50 No),1,Polycab 1.5 Sq.mm X 6 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,1.5 Sqmm,Pair,6 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,8002215651-Polycab-1.5-S,,18%,,,,,,,,,1,1-2 Days,
8445,Polycab 1.5 Sq.mm X 7 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,63450,32359.5,Meter,(1 Pack of 50 No),1,Polycab 1.5 Sq.mm X 7 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,1.5 Sqmm,Pair,7 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,2971155171-Polycab-1.5-S,,18%,,,,,,,,,1,1-2 Days,
8446,Polycab 1.5 Sq.mm X 8 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,71900,36669,Meter,(1 Pack of 50 No),1,Polycab 1.5 Sq.mm X 8 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,1.5 Sqmm,Pair,8 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,2757609347-Polycab-1.5-S,,18%,,,,,,,,,1,1-2 Days,
8447,Polycab 1.5 Sq.mm X 10 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,88550,45160.5,Meter,(1 Pack of 50 No),1,Polycab 1.5 Sq.mm X 10 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,1.5 Sqmm,Pair,9 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,5370641468-Polycab-1.5-S,,18%,,,,,,,,,1,1-2 Days,
8448,Polycab 1.5 Sq.mm X 11 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,103400,52734,Meter,(1 Pack of 50 No),,Polycab 1.5 Sq.mm X 11 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,1.5 Sqmm,Pair,10 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,1641461270-Polycab-1.5-S,,18%,,,,,,,,,1,1-2 Days,
8449,Polycab 1.5 Sq.mm X 12 Traid Overall shielded Armoured Instrumentation FRLS Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,Traid Overall shielded Armoured Instrumentation Cable,Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,103400,52734,Meter,(1 Pack of 50 No),1,Polycab 1.5 Sq.mm X 12 Traid Overall shielded Armoured Instrumentation FRLS Cable,,,,,,Size,1.5 Sqmm,Pair,11 Traid,Type,Overall shielded Armoured Instrumentation FRLS Cable,Packing,Coil/Drum,Unit,Meter,Voltage,300/500 Volts,,,,,,,,,,,1721296123-Product-Screen Sht Image Polycab 1.PNG,9038083684-Polycab-1.5-S,,18%,,,,,,,,,1,1-2 Days,
