id,name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
16,"CSMBS1B6 C&S Electric- 6A, 1 Pole B Curve 10kA WiNtrip2 MCB (Pack of 12)",C&S Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,WiNtrip2 Miniature Circuit Breaker,CSMBS1B6,B-Series,CSMBS1B6,3180,2544,Piece,Pack of 12,1,"CSMBS1B6,C&S 6A, 1 Pole B Curve 10kA WiNtrip2 MCB:- Buy C&S, CSMBS1B6 in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",--,--,--,--,--,Type,B Curve,No. of Poles,1 pole,Breaking Capacity,10 kA,Current Rating,6 Amp,Rated Frequency,50/60Hz,Rated Voltage,240/415V,Degree of Protection,IP 20,Installation Position,Vertical / Horizontal,Terminal Capacity,35 mm2,Resistance to Shock,40mm free fall,Mounting,Din rail Size 35.5 mm,1710739516-Product-Screenshot 2024-03-18 105402.png,6405480932-CSMBS1B6-C&S,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,
17,"CSMBS1B10 C&S Electric- 10A , 1 Pole B Curve 10kA WiNtrip2 MCB (Pack of 12)",C&S Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,WiNtrip2 Miniature Circuit Breaker,CSMBS1B10,B-Series,CSMBS1B10,3180,2544,Piece,Pack of 12,1,"CSMBS1B10,C&S 10A , 1 Pole B Curve 10kA WiNtrip2 MC:- Buy C&S, CSMBS1B10 in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",--,--,--,--,--,Type,B Curve,No. of Poles,1 pole,Breaking Capacity,10 kA,Current Rating,10 Amp,Rated Frequency,50/60Hz,Rated Voltage,240/415V,Degree of Protection,IP 20,Installation Position,Vertical / Horizontal,Terminal Capacity,35 mm2,Resistance to Shock,40mm free fall,Mounting,Din rail Size 35.5 mm,1710739516-Product-Screenshot 2024-03-18 105402.png,7499102992-CSMBS1B10-C&S,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,
18,"CSMBS1B20 C&S Electric- 20A , 1 Pole B Curve 10kA WiNtrip2 MCB (Pack of 12)",C&S Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,WiNtrip2 Miniature Circuit Breaker,CSMBS1B20,B-Series,CSMBS1B20,3180,2544,Piece,Pack of 12,1,"CSMBS1B20,C&S 20A , 1 Pole B Curve 10kA WiNtrip2 MC:- Buy C&S, CSMBS1B20 in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",--,--,--,--,--,Type,B Curve,No. of Poles,1 pole,Breaking Capacity,10 kA,Current Rating,20 Amp,Rated Frequency,50/60Hz,Rated Voltage,240/415V,Degree of Protection,IP 20,Installation Position,Vertical / Horizontal,Terminal Capacity,35 mm2,Resistance to Shock,40mm free fall,Mounting,Din rail Size 35.5 mm,1710739516-Product-Screenshot 2024-03-18 105402.png,6798780845-CSMBS1B20-C&S,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,
19,"CSMBS1B25 C&S Electric- 25A , 1 Pole B Curve 10kA WiNtrip2 MCB (Pack of 12)",C&S Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,WiNtrip2 Miniature Circuit Breaker,CSMBS1B25,B-Series,CSMBS1B25,3180,2544,Piece,Pack of 12,1,"CSMBS1B25,C&S 25A , 1 Pole B Curve 10kA WiNtrip2 MC:- Buy C&S, CSMBS1B25 in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",--,--,--,--,--,Type,B Curve,No. of Poles,1 pole,Breaking Capacity,10 kA,Current Rating,25 Amp,Rated Frequency,50/60Hz,Rated Voltage,240/415V,Degree of Protection,IP 20,Installation Position,Vertical / Horizontal,Terminal Capacity,35 mm2,Resistance to Shock,40mm free fall,Mounting,Din rail Size 35.5 mm,1710739516-Product-Screenshot 2024-03-18 105402.png,6870745134-CSMBS1B25-C&S,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,
20,"CSMBS1B32 C&S Electric- 32A ,1 Pole B Curve 10kA WiNtrip2 MCB (Pack of 12)",C&S Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,WiNtrip2 Miniature Circuit Breaker,CSMBS1B32,B-Series,CSMBS1B32,3180,2544,Piece,Pack of 12,1,"CSMBS1B32,C&S 32A ,1 Pole B Curve 10kA WiNtrip2 MC:- Buy C&S, CSMBS1B32in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",--,--,--,--,--,Type,B Curve,No. of Poles,1 pole,Breaking Capacity,10 kA,Current Rating,32 Amp,Rated Frequency,50/60Hz,Rated Voltage,240/415V,Degree of Protection,IP 20,Installation Position,Vertical / Horizontal,Terminal Capacity,35 mm2,Resistance to Shock,40mm free fall,Mounting,Din rail Size 35.5 mm,1710739516-Product-Screenshot 2024-03-18 105402.png,5584107259-CSMBS1B32-C&S,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,
21,"CSMBS1B40 C&S Electric- 40A ,1 Pole B Curve 10kA WiNtrip2 MCB (Pack of 12)",C&S Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,WiNtrip2 Miniature Circuit Breaker,CSMBS1B40,B-Series,CSMBS1B40,7440,5952,Piece,Pack of 12,1,"CSMBS1B40,C&S 40A , 1 Pole B Curve 10kA WiNtrip2 MC:- Buy C&S, CSMBS1B40 in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",--,--,--,--,--,Type,B Curve,No. of Poles,1 pole,Breaking Capacity,10 kA,Current Rating,40 Amp,Rated Frequency,50/60Hz,Rated Voltage,240/415V,Degree of Protection,IP 20,Installation Position,Vertical / Horizontal,Terminal Capacity,35 mm2,Resistance to Shock,40mm free fall,Mounting,Din rail Size 35.5 mm,1710739516-Product-Screenshot 2024-03-18 105402.png,5774540918-CSMBS1B40-C&S,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,
22,"CSMBS1B50 C&S Electric- 50A, 1 Pole B Curve 10kA WiNtrip2 MCB (Pack of 12)",C&S Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,WiNtrip2 Miniature Circuit Breaker,CSMBS1B50,B-Series,CSMBS1B50,8340,6672,Piece,Pack of 12,1,"CSMBS1B50,C&S50A, 1 Pole B Curve 10kA WiNtrip2 MC:- Buy C&S, CSMBS1B50 in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",--,--,--,--,--,Type,B Curve,No. of Poles,1 pole,Breaking Capacity,10 kA,Current Rating,50 Amp,Rated Frequency,50/60Hz,Rated Voltage,240/415V,Degree of Protection,IP 20,Installation Position,Vertical / Horizontal,Terminal Capacity,35 mm2,Resistance to Shock,40mm free fall,Mounting,Din rail Size 35.5 mm,1710739516-Product-Screenshot 2024-03-18 105402.png,9990409303-CSMBS1B50-C&S,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,
23,"CSMBS1B63 C&S Electric- 63A, 1 Pole B Curve 10kA WiNtrip2 MCB (Pack of 12)",C&S Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,WiNtrip2 Miniature Circuit Breaker,CSMBS1B63,B-Series,CSMBS1B63,8340,6672,Piece,Pack of 12,1,"CSMBS1B63,C&S 63A, 1 Pole B Curve 10kA WiNtrip2 MC:- Buy C&S, CSMBS1B63 in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",--,--,--,--,--,Type,B Curve,No. of Poles,1 pole,Breaking Capacity,10 kA,Current Rating,63 Amp,Rated Frequency,50/60Hz,Rated Voltage,240/415V,Degree of Protection,IP 20,Installation Position,Vertical / Horizontal,Terminal Capacity,35 mm2,Resistance to Shock,40mm free fall,Mounting,Din rail Size 35.5 mm,1710739516-Product-Screenshot 2024-03-18 105402.png,9459679368-CSMBS1B63-C&S,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,
24,"CSMBS1B6N C&S Electric- 6A, 1 Pole+N, B Curve 10kA WiNtrip2 MCB (Pack of 6)",C&S Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,WiNtrip2 Miniature Circuit Breaker,CSMBS1B6N,B-Series,CSMBS1B6N,5220,4176,Piece,Pack of 6,1,"CSMBS1B6N,C&S 6A, 1 Pole+N B Curve 10kA WiNtrip2 MCB:- Buy C&S, CSMBS1B6N in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",--,--,--,--,--,Type,B Curve,No. of Poles,1 pole,Breaking Capacity,10 kA,Current Rating,6 Amp,Rated Frequency,50/60Hz,Rated Voltage,240V,Degree of Protection,IP 20,Installation Position,Vertical / Horizontal,Terminal Capacity,35 mm2,Resistance to Shock,40mm free fall,Mounting,Din rail Size 35.5 mm,1710739712-Product-Screenshot 2024-03-18 105820.png,8227252157-CSMBS1B6N-C&S,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,
25,"CSMBS1B10N C&S Electric- 10A , 1 Pole+N , B Curve 10kA WiNtrip2 MCB (Pack of 6)",C&S Electric,Panel & Panel Accessories,Low Voltage Switch Gear,MCB,WiNtrip2 Miniature Circuit Breaker,CSMBS1B10N,B-Series,CSMBS1B10N,5220,4176,Piece,Pack of 6,1,"CSMBS1B10N,C&S 10A , 1 Pole+N B Curve 10kA WiNtrip2 MC:- Buy C&S, CSMBS1BN10 in Best Rate All Over India. Distributors in Top Cities Such as Noida, Delhi NCR, Mumbai, Chennai, Bengaluru, Kolkata, Pune, Jaipur and Ahmedabad.",--,--,--,--,--,Type,B Curve,No. of Poles,1 pole,Breaking Capacity,10 kA,Current Rating,10 Amp,Rated Frequency,50/60Hz,Rated Voltage,240V,Degree of Protection,IP 20,Installation Position,Vertical / Horizontal,Terminal Capacity,35 mm2,Resistance to Shock,40mm free fall,Mounting,Din rail Size 35.5 mm,1710739712-Product-Screenshot 2024-03-18 105820.png,3430609556-CSMBS1B10N-C&,--,18%,--,--,--,--,--,--,--,--,1,1-2 Days,
