c1_category,c2_category,leaf_category
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Ring Type Dies,"Ring Type Dies,Steel,Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
Compression Tools,Crimping Tool Hexagonal Type Dies,"Hexagonal Type Dies, Steel, Silver die"
