poly cab ,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
Polycab 1.50 Sq.mm X 2 Core Transparent Speaker PVC Cable 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Double Core Speaker Wire,2 Core Transparent Speaker PVC Cable,,,,"1,930",1312.4,Meter,( 1 Pack 0f 90 Mtr ),1,05 Sqmm x 2 Core Twin Parallel Speaker Cable With High Quality Oxygen Free Copper Conductor Ensuring Excellent Sound Quality For Expensive Sound System.,,,,,,Size,05 Sq.mm,Core,2 Core,Type,Twin Parallel Speaker Cable,Packing,90 Meter Coil,Unit,Coil,Conductor,Oxygen Free Copper,Insulation,Transparent PVC,Core Identification,Natural & Natural-Blue,Standards,"Generally As Per IS:8130/84, IS:694, /IS:5831 Etc With Latest Amendments",,,,,1721198653-Product-Screenshot 2024-07-17 111943.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.75 Sq.mm X 2 Core Transparent Speaker PVC Cable 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Double Core Speaker Wire,2 Core Transparent Speaker PVC Cable,,,,"2,800",1904,Meter,( 1 Pack 0f 90 Mtr ),1,0.75 Sq.mm x 2 Core Twin Parallel Speaker Cable With High Quality Oxygen Free Copper Conductor Ensuring Excellent Sound Quality For Expensive Sound System.,,,,,,Size,0.75 Sq.mm,Core,2 Core,Type,Twin Parallel Speaker Cable,Packing,90 Meter Coil,Unit,Coil,Conductor,Oxygen Free Copper,Insulation,Transparent PVC,Core Identification,Natural & Natural-Blue,Standards,"Generally As Per IS:8130/84, IS:694, /IS:5831 Etc With Latest Amendments",,,,,1721198653-Product-Screenshot 2024-07-17 111943.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 1 Sq.mm X 2 Core Transparent Speaker PVC Cable 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Double Core Speaker Wire,2 Core Transparent Speaker PVC Cable,,,,"3,460",2352.8,Meter,( 1 Pack 0f 90 Mtr ),1,1 Sqmm x 2 Core Twin Parallel Speaker Cable With High Quality Oxygen Free Copper Conductor Ensuring Excellent Sound Quality For Expensive Sound System.,,,,,,Size,1 Sq.mm,Core,2 Core,Type,Twin Parallel Speaker Cable,Packing,90 Meter Coil,Unit,Coil,Conductor,Oxygen Free Copper,Insulation,Transparent PVC,Core Identification,Natural & Natural-Blue,Standards,"Generally As Per IS:8130/84, IS:694, /IS:5831 Etc With Latest Amendments",,,,,1721198653-Product-Screenshot 2024-07-17 111943.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 1.5 Sq.mm X 2 Core Transparent Speaker PVC Cable 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Double Core Speaker Wire,2 Core Transparent Speaker PVC Cable,,,,"5,140",3495.2,Meter,( 1 Pack 0f 90 Mtr ),1,1.5 Sqmm x 2 Core Twin Parallel Speaker Cable With High Quality Oxygen Free Copper Conductor Ensuring Excellent Sound Quality For Expensive Sound System.,,,,,,Size,1.5 Sq.mm,Core,2 Core,Type,Twin Parallel Speaker Cable,Packing,90 Meter Coil,Unit,Coil,Conductor,Oxygen Free Copper,Insulation,Transparent PVC,Core Identification,Natural & Natural-Blue,Standards,"Generally As Per IS:8130/84, IS:694, /IS:5831 Etc With Latest Amendments",,,,,1721198653-Product-Screenshot 2024-07-17 111943.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 2 Sq.mm X 2 Core Transparent Speaker PVC Cable 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Double Core Speaker Wire,2 Core Transparent Speaker PVC Cable,,,,"7,965",5416.2,Meter,( 1 Pack 0f 90 Mtr ),1,2 Sqmm x 2 Core Twin Parallel Speaker Cable With High Quality Oxygen Free Copper Conductor Ensuring Excellent Sound Quality For Expensive Sound System.,,,,,,Size,2 Sq.mm,Core,2 Core,Type,Twin Parallel Speaker Cable,Packing,90 Meter Coil,Unit,Coil,Conductor,Oxygen Free Copper,Insulation,Transparent PVC,Core Identification,Natural & Natural-Blue,Standards,"Generally As Per IS:8130/84, IS:694, /IS:5831 Etc With Latest Amendments",,,,,1721198653-Product-Screenshot 2024-07-17 111943.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 2.5 Sq.mm X 2 Core Transparent Speaker PVC Cable 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Double Core Speaker Wire,2 Core Transparent Speaker PVC Cable,,,,"8,535",5803.8,Meter,( 1 Pack 0f 90 Mtr ),1,2.5 Sqmm x 2 Core Twin Parallel Speaker Cable With High Quality Oxygen Free Copper Conductor Ensuring Excellent Sound Quality For Expensive Sound System.,,,,,,Size,2.5 Sq.mm,Core,2 Core,Type,Twin Parallel Speaker Cable,Packing,90 Meter Coil,Unit,Coil,Conductor,Oxygen Free Copper,Insulation,Transparent PVC,Core Identification,Natural & Natural-Blue,Standards,"Generally As Per IS:8130/84, IS:694, /IS:5831 Etc With Latest Amendments",,,,,1721198653-Product-Screenshot 2024-07-17 111943.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 0.75 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Green Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Maxima Single Core Wire Low Smoke Wires,"Maxima Green Wire HR FR-LSH LF, Low Smoke Wires",,,,1485,1009.8,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 0.75 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Green Wire,1721206719-Product-Screenshot 2024-07-17 141503.png,,,,,Size,0.75 Sq.mm,Core,1 Core,Type,"Green Wire HR FR-LSH LF, Low Smoke Wires",Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Green,,,,,,,,,,18%,,,,,,,,,1,1-2 Days,
Polycab 1 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Green Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Maxima Single Core Wire Low Smoke Wires,"Maxima Green Wire HR FR-LSH LF, Low Smoke Wires",,,,2005,1363.4,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 1 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Green Wire,1721206719-Product-Screenshot 2024-07-17 141503.png,,,,,Size,1 Sq.mm,Core,1 Core,Type,"Green Wire HR FR-LSH LF, Low Smoke Wires",Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Green,,,,,,,1721206709-Product-Screenshot 2024-07-17 141243.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 1.5 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Green Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Maxima Single Core Wire Low Smoke Wires,"Maxima+ Green Wire HR FR-LSH LF, Low Smoke Wires",,,,2935,1995.8,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 1.5 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Green Wire,1721206719-Product-Screenshot 2024-07-17 141503.png,,,,,Size,1.5 Sq.mm,Core,1 Core,Type,"Green Wire HR FR-LSH LF, Low Smoke Wires",Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Green,,,,,,,1721206709-Product-Screenshot 2024-07-17 141243.png,,,18%,,,,,,,,,1,1-2 Days,
Polycab 2.5 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Green Wire 90 Mtr,Polycab,Industrial Wires & Cables,Wires,Maxima Single Core Wire Low Smoke Wires,"Maxima+ Green Wire HR FR-LSH LF, Low Smoke Wires",,,,4610,3134.8,Meter,( 1 Pack 0f 90 Mtr ),1,Polycab 2.5 Sq.mm PVC Insulated Single Core Unsheathed industrial Multistrand Cables Green Wire,1721206719-Product-Screenshot 2024-07-17 141503.png,,,,,Size,2.5 Sq.mm,Core,1 Core,Type,"Green Wire HR FR-LSH LF, Low Smoke Wires",Packing,90 Meter Coil,Unit,Coil,Voltage,1100 Volts,Material,Copper Conductor,Colour,Green,,,,,,,1721206709-Product-Screenshot 2024-07-17 141243.png,,,18%,,,,,,,,,1,1-2 Days,
