name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
Polycab 35 Sq.mm X 3 Core HT 6.6 KV (UE) / 1.1 KV (E) Aluminium Armoured PVC Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,HT Cables,HT Aluminium Armoured PVC Cable 6.6 KV (UE) / 1.1 KV (E),,,,537.61,53761,Meter,(1 Pack of 100 No),1,Polycab 35 Sq.mm X 3 Core HT 6.6 KV (UE) / 1.1 KV (E) Aluminium Armoured PVC Cable,,,,,,Type,HT Aluminium Armoured PVC Cable 6.6 KV (UE) / 1.1 KV (E),Size,35 Sq.mm,Type of Core,3 Core,Packing,Coil/Drum,Unit,Meter,Voltage,6.6 KV (UE) / 1.1 KV (E),Type of Armouring,Flat Strip,Armouring,Galvanised Steel,,,,,,,1721714764-Product-HT Cble.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 50 Sq.mm X 3 Core HT 6.6 KV (UE) / 1.1 KV (E) Aluminium Armoured PVC Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,HT Cables,HT Aluminium Armoured PVC Cable 6.6 KV (UE) / 1.1 KV (E),,,,642.69,64269,Meter,(1 Pack of 100 No),1,Polycab 50 Sq.mm X 3 Core HT 6.6 KV (UE) / 1.1 KV (E) Aluminium Armoured PVC Cable,,,,,,Type,HT Aluminium Armoured PVC Cable 6.6 KV (UE) / 1.1 KV (E),Size,50 Sq.mm,Type of Core,3 Core,Packing,Coil/Drum,Unit,Meter,Voltage,6.6 KV (UE) / 1.1 KV (E),Type of Armouring,Flat Strip,Armouring,Galvanised Steel,,,,,,,1721714764-Product-HT Cble.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 70 Sq.mm X 3 Core HT 6.6 KV (UE) / 1.1 KV (E) Aluminium Armoured PVC Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,HT Cables,HT Aluminium Armoured PVC Cable 6.6 KV (UE) / 1.1 KV (E),,,,782.92,78292,Meter,(1 Pack of 100 No),1,Polycab 70 Sq.mm X 3 Core HT 6.6 KV (UE) / 1.1 KV (E) Aluminium Armoured PVC Cable,,,,,,Type,HT Aluminium Armoured PVC Cable 6.6 KV (UE) / 1.1 KV (E),Size,70 Sq.mm,Type of Core,3 Core,Packing,Coil/Drum,Unit,Meter,Voltage,6.6 KV (UE) / 1.1 KV (E),Type of Armouring,Flat Strip,Armouring,Galvanised Steel,,,,,,,1721714764-Product-HT Cble.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 95 Sq.mm X 3 Core HT 6.6 KV (UE) / 1.1 KV (E) Aluminium Armoured PVC Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,HT Cables,HT Aluminium Armoured PVC Cable 6.6 KV (UE) / 1.1 KV (E),,,,888,88800,Meter,(1 Pack of 100 No),1,Polycab 95 Sq.mm X 3 Core HT 6.6 KV (UE) / 1.1 KV (E) Aluminium Armoured PVC Cable,,,,,,Type,HT Aluminium Armoured PVC Cable 6.6 KV (UE) / 1.1 KV (E),Size,95 Sq.mm,Type of Core,3 Core,Packing,Coil/Drum,Unit,Meter,Voltage,6.6 KV (UE) / 1.1 KV (E),Type of Armouring,Flat Strip,Armouring,Galvanised Steel,,,,,,,1721714764-Product-HT Cble.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 120 Sq.mm X 3 Core HT 6.6 KV (UE) / 1.1 KV (E) Aluminium Armoured PVC Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,HT Cables,HT Aluminium Armoured PVC Cable 6.6 KV (UE) / 1.1 KV (E),,,,1071.89,107189,Meter,(1 Pack of 100 No),1,Polycab 120 Sq.mm X 3 Core HT 6.6 KV (UE) / 1.1 KV (E) Aluminium Armoured PVC Cable,,,,,,Type,HT Aluminium Armoured PVC Cable 6.6 KV (UE) / 1.1 KV (E),Size,120 Sq.mm,Type of Core,3 Core,Packing,Coil/Drum,Unit,Meter,Voltage,6.6 KV (UE) / 1.1 KV (E),Type of Armouring,Flat Strip,Armouring,Galvanised Steel,,,,,,,1721714764-Product-HT Cble.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 150 Sq.mm X 3 Core HT 6.6 KV (UE) / 1.1 KV (E) Aluminium Armoured PVC Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,HT Cables,HT Aluminium Armoured PVC Cable 6.6 KV (UE) / 1.1 KV (E),,,,1255.78,62789,Meter,(1 Pack of 50 No),1,Polycab 150 Sq.mm X 3 Core HT 6.6 KV (UE) / 1.1 KV (E) Aluminium Armoured PVC Cable,,,,,,Type,HT Aluminium Armoured PVC Cable 6.6 KV (UE) / 1.1 KV (E),Size,150 Sq.mm,Type of Core,3 Core,Packing,Coil/Drum,Unit,Meter,Voltage,6.6 KV (UE) / 1.1 KV (E),Type of Armouring,Flat Strip,Armouring,Galvanised Steel,,,,,,,1721714764-Product-HT Cble.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 185 Sq.mm X 3 Core HT 6.6 KV (UE) / 1.1 KV (E) Aluminium Armoured PVC Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,HT Cables,HT Aluminium Armoured PVC Cable 6.6 KV (UE) / 1.1 KV (E),,,,1431.9,71595,Meter,(1 Pack of 50 No),1,Polycab 185 Sq.mm X 3 Core HT 6.6 KV (UE) / 1.1 KV (E) Aluminium Armoured PVC Cable,,,,,,Type,HT Aluminium Armoured PVC Cable 6.6 KV (UE) / 1.1 KV (E),Size,185 Sq.mm,Type of Core,3 Core,Packing,Coil/Drum,Unit,Meter,Voltage,6.6 KV (UE) / 1.1 KV (E),Type of Armouring,Flat Strip,Armouring,Galvanised Steel,,,,,,,1721714764-Product-HT Cble.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 240 Sq.mm X 3 Core HT 6.6 KV (UE) / 1.1 KV (E) Aluminium Armoured PVC Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,HT Cables,HT Aluminium Armoured PVC Cable 6.6 KV (UE) / 1.1 KV (E),,,,1734.93,86746.5,Meter,(1 Pack of 50 No),1,Polycab 240 Sq.mm X 3 Core HT 6.6 KV (UE) / 1.1 KV (E) Aluminium Armoured PVC Cable,,,,,,Type,HT Aluminium Armoured PVC Cable 6.6 KV (UE) / 1.1 KV (E),Size,240 Sq.mm,Type of Core,3 Core,Packing,Coil/Drum,Unit,Meter,Voltage,6.6 KV (UE) / 1.1 KV (E),Type of Armouring,Flat Strip,Armouring,Galvanised Steel,,,,,,,1721714764-Product-HT Cble.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 300 Sq.mm X 3 Core HT 6.6 KV (UE) / 1.1 KV (E) Aluminium Armoured PVC Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,HT Cables,HT Aluminium Armoured PVC Cable 6.6 KV (UE) / 1.1 KV (E),,,,2052.39,102619.5,Meter,(1 Pack of 50 No),1,Polycab 300 Sq.mm X 3 Core HT 6.6 KV (UE) / 1.1 KV (E) Aluminium Armoured PVC Cable,,,,,,Type,HT Aluminium Armoured PVC Cable 6.6 KV (UE) / 1.1 KV (E),Size,300 Sq.mm,Type of Core,3 Core,Packing,Coil/Drum,Unit,Meter,Voltage,6.6 KV (UE) / 1.1 KV (E),Type of Armouring,Flat Strip,Armouring,Galvanised Steel,,,,,,,1721714764-Product-HT Cble.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 400 Sq.mm X 3 Core HT 6.6 KV (UE) / 1.1 KV (E) Aluminium Armoured PVC Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,HT Cables,HT Aluminium Armoured PVC Cable 6.6 KV (UE) / 1.1 KV (E),,,,2567.8,128390,Meter,(1 Pack of 50 No),1,Polycab 400 Sq.mm X 3 Core HT 6.6 KV (UE) / 1.1 KV (E) Aluminium Armoured PVC Cable,,,,,,Type,HT Aluminium Armoured PVC Cable 6.6 KV (UE) / 1.1 KV (E),Size,400 Sq.mm,Type of Core,3 Core,Packing,Coil/Drum,Unit,Meter,Voltage,6.6 KV (UE) / 1.1 KV (E),Type of Armouring,Flat Strip,Armouring,Galvanised Steel,,,,,,,1721714764-Product-HT Cble.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 35 Sq.mm X 3 Core HT 11 KV (UE) Aluminium Armoured PVC Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,HT Cables,HT Aluminium Armoured PVC Cable 11 KV (UE),,,,,,Meter,(1 Pack of 100 No),1,Polycab 35 Sq.mm X 3 Core HT 11 KV (UE) Aluminium Armoured PVC Cable,,,,,,Type,HT Aluminium Armoured PVC Cable 11 KV (UE),Size,35 Sq.mm,Type of Core,3 Core,Packing,Coil/Drum,Unit,Meter,Voltage,11 KV (UE),Type of Armouring,Flat Strip,Armouring,Galvanised Steel,,,,,,,1721714764-Product-HT Cble.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 50 Sq.mm X 3 Core HT 11 KV (UE) Aluminium Armoured PVC Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,HT Cables,HT Aluminium Armoured PVC Cable 11 KV (UE),,,,,,Meter,(1 Pack of 100 No),1,Polycab 50 Sq.mm X 3 Core HT 11 KV (UE) Aluminium Armoured PVC Cable,,,,,,Type,HT Aluminium Armoured PVC Cable 11 KV (UE),Size,50 Sq.mm,Type of Core,3 Core,Packing,Coil/Drum,Unit,Meter,Voltage,11 KV (UE),Type of Armouring,Flat Strip,Armouring,Galvanised Steel,,,,,,,1721714764-Product-HT Cble.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 70 Sq.mm X 3 Core HT 11 KV (UE) Aluminium Armoured PVC Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,HT Cables,HT Aluminium Armoured PVC Cable 11 KV (UE),,,,,,Meter,(1 Pack of 100 No),1,Polycab 70 Sq.mm X 3 Core HT 11 KV (UE) Aluminium Armoured PVC Cable,,,,,,Type,HT Aluminium Armoured PVC Cable 11 KV (UE),Size,70 Sq.mm,Type of Core,3 Core,Packing,Coil/Drum,Unit,Meter,Voltage,11 KV (UE),Type of Armouring,Flat Strip,Armouring,Galvanised Steel,,,,,,,1721714764-Product-HT Cble.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 95 Sq.mm X 3 Core HT 11 KV (UE) Aluminium Armoured PVC Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,HT Cables,HT Aluminium Armoured PVC Cable 11 KV (UE),,,,1200.28,120028,Meter,(1 Pack of 100 No),1,Polycab 95 Sq.mm X 3 Core HT 11 KV (UE) Aluminium Armoured PVC Cable,,,,,,Type,HT Aluminium Armoured PVC Cable 11 KV (UE),Size,95 Sq.mm,Type of Core,3 Core,Packing,Coil/Drum,Unit,Meter,Voltage,11 KV (UE),Type of Armouring,Flat Strip,Armouring,Galvanised Steel,,,,,,,1721714764-Product-HT Cble.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 120 Sq.mm X 3 Core HT 11 KV (UE) Aluminium Armoured PVC Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,HT Cables,HT Aluminium Armoured PVC Cable 11 KV (UE),,,,1348.65,134865,Meter,(1 Pack of 100 No),1,Polycab 120 Sq.mm X 3 Core HT 11 KV (UE) Aluminium Armoured PVC Cable,,,,,,Type,HT Aluminium Armoured PVC Cable 11 KV (UE),Size,120 Sq.mm,Type of Core,3 Core,Packing,Coil/Drum,Unit,Meter,Voltage,11 KV (UE),Type of Armouring,Flat Strip,Armouring,Galvanised Steel,,,,,,,1721714764-Product-HT Cble.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 150 Sq.mm X 3 Core HT 11 KV (UE) Aluminium Armoured PVC Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,HT Cables,HT Aluminium Armoured PVC Cable 11 KV (UE),,,,1546.97,77348.5,Meter,(1 Pack of 50 No),1,Polycab 150 Sq.mm X 3 Core HT 11 KV (UE) Aluminium Armoured PVC Cable,,,,,,Type,HT Aluminium Armoured PVC Cable 11 KV (UE),Size,150 Sq.mm,Type of Core,3 Core,Packing,Coil/Drum,Unit,Meter,Voltage,11 KV (UE),Type of Armouring,Flat Strip,Armouring,Galvanised Steel,,,,,,,1721714764-Product-HT Cble.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 185 Sq.mm X 3 Core HT 11 KV (UE) Aluminium Armoured PVC Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,HT Cables,HT Aluminium Armoured PVC Cable 11 KV (UE),,,,1746.03,87301.5,Meter,(1 Pack of 50 No),1,Polycab 185 Sq.mm X 3 Core HT 11 KV (UE) Aluminium Armoured PVC Cable,,,,,,Type,HT Aluminium Armoured PVC Cable 11 KV (UE),Size,185 Sq.mm,Type of Core,3 Core,Packing,Coil/Drum,Unit,Meter,Voltage,11 KV (UE),Type of Armouring,Flat Strip,Armouring,Galvanised Steel,,,,,,,1721714764-Product-HT Cble.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 240 Sq.mm X 3 Core HT 11 KV (UE) Aluminium Armoured PVC Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,HT Cables,HT Aluminium Armoured PVC Cable 11 KV (UE),,,,2061.27,103063.5,Meter,(1 Pack of 50 No),1,Polycab 240 Sq.mm X 3 Core HT 11 KV (UE) Aluminium Armoured PVC Cable,,,,,,Type,HT Aluminium Armoured PVC Cable 11 KV (UE),Size,240 Sq.mm,Type of Core,3 Core,Packing,Coil/Drum,Unit,Meter,Voltage,11 KV (UE),Type of Armouring,Flat Strip,Armouring,Galvanised Steel,,,,,,,1721714764-Product-HT Cble.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 300 Sq.mm X 3 Core HT 11 KV (UE) Aluminium Armoured PVC Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,HT Cables,HT Aluminium Armoured PVC Cable 11 KV (UE),,,,2416.84,120842,Meter,(1 Pack of 50 No),1,Polycab 300 Sq.mm X 3 Core HT 11 KV (UE) Aluminium Armoured PVC Cable,,,,,,Type,HT Aluminium Armoured PVC Cable 11 KV (UE),Size,300 Sq.mm,Type of Core,3 Core,Packing,Coil/Drum,Unit,Meter,Voltage,11 KV (UE),Type of Armouring,Flat Strip,Armouring,Galvanised Steel,,,,,,,1721714764-Product-HT Cble.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 400 Sq.mm X 3 Core HT 11 KV (UE) Aluminium Armoured PVC Cable (1 Pack of 50 No),Polycab,Industrial Wires & Cables,Cables,HT Cables,HT Aluminium Armoured PVC Cable 11 KV (UE),,,,2931.51,146575.5,Meter,(1 Pack of 50 No),1,Polycab 400 Sq.mm X 3 Core HT 11 KV (UE) Aluminium Armoured PVC Cable,,,,,,Type,HT Aluminium Armoured PVC Cable 11 KV (UE),Size,400 Sq.mm,Type of Core,3 Core,Packing,Coil/Drum,Unit,Meter,Voltage,11 KV (UE),Type of Armouring,Flat Strip,Armouring,Galvanised Steel,,,,,,,1721714764-Product-HT Cble.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 35 Sq.mm X 3 Core HT 22 KV (E) Aluminium Armoured PVC Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,HT Cables,HT Aluminium Armoured PVC Cable 22 KV (E),,,,,,Meter,(1 Pack of 100 No),1,Polycab 35 Sq.mm X 3 Core HT 22 KV (E) Aluminium Armoured PVC Cable,,,,,,Type,HT Aluminium Armoured PVC Cable 22 KV (E),Size,35 Sq.mm,Type of Core,3 Core,Packing,Coil/Drum,Unit,Meter,Voltage,22 KV (E),Type of Armouring,Flat Strip,Armouring,Galvanised Steel,,,,,,,1721714764-Product-HT Cble.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 50 Sq.mm X 3 Core HT 22 KV (E) Aluminium Armoured PVC Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,HT Cables,HT Aluminium Armoured PVC Cable 22 KV (E),,,,,,Meter,(1 Pack of 100 No),1,Polycab 50 Sq.mm X 3 Core HT 22 KV (E) Aluminium Armoured PVC Cable,,,,,,Type,HT Aluminium Armoured PVC Cable 22 KV (E),Size,50 Sq.mm,Type of Core,3 Core,Packing,Coil/Drum,Unit,Meter,Voltage,22 KV (E),Type of Armouring,Flat Strip,Armouring,Galvanised Steel,,,,,,,1721714764-Product-HT Cble.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 70 Sq.mm X 3 Core HT 22 KV (E) Aluminium Armoured PVC Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,HT Cables,HT Aluminium Armoured PVC Cable 22 KV (E),,,,,,Meter,(1 Pack of 100 No),1,Polycab 70 Sq.mm X 3 Core HT 22 KV (E) Aluminium Armoured PVC Cable,,,,,,Type,HT Aluminium Armoured PVC Cable 22 KV (E),Size,70 Sq.mm,Type of Core,3 Core,Packing,Coil/Drum,Unit,Meter,Voltage,22 KV (E),Type of Armouring,Flat Strip,Armouring,Galvanised Steel,,,,,,,1721714764-Product-HT Cble.PNG,,,18%,,,,,,,,,1,1-2 Days,
Polycab 95 Sq.mm X 3 Core HT 22 KV (E) Aluminium Armoured PVC Cable (1 Pack of 100 No),Polycab,Industrial Wires & Cables,Cables,HT Cables,HT Aluminium Armoured PVC Cable 22 KV (E),,,,1200.28,120028,Meter,(1 Pack of 100 No),1,Polycab 95 Sq.mm X 3 Core HT 22 KV (E) Aluminium Armoured PVC Cable,,,,,,Type,HT Aluminium Armoured PVC Cable 22 KV (E),Size,95 Sq.mm,Type of Core,3 Core,Packing,Coil/Drum,Unit,Meter,Voltage,22 KV (E),Type of Armouring,Flat Strip,Armouring,Galvanised Steel,,,,,,,1721714764-Product-HT Cble.PNG,,,18%,,,,,,,,,1,1-2 Days,
