name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Dowell's, PSD-7437- Ring Terminals Double Grip (Pre-Insulated), Wires Size 1.5sqmm, Ring Size 3mm",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Double Grip,Pre-Insulated,PSD-7437,PSD-Series,PSD-7437,4.85 /Pc,970,Piece,(1 Pack of 200 No),1,"Dowell's, PSD-7437-Ring Terminals Double Grip (pre-Insulated)-Thimble-Wires Size-1.5 Sq.mm, Ring Size-3mm",1715852789-Product-Screenshot 2024-05-16 151615.png,,,,,Wires Size,1.5sqmm,Ring Size,3mm,,,,,,,,,,,,,,,,,,,1715849813-Product-Screenshot 2024-05-16 125654.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, PSD-7438- Ring Terminals Double Grip (Pre-Insulated), Wires Size 1.5sqmm, Ring Size 3.5mm",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Double Grip,Pre-Insulated,PSD-7438,PSD-Series,PSD-7438,4.85 /Pc,970,Piece,(1 Pack of 200 No),1,"Dowell's, PSD-7438-Ring Terminals Double Grip (pre-Insulated)-Thimble-Wires Size-1.5 Sq.mm, Ring Size-3.5mm",1715852789-Product-Screenshot 2024-05-16 151615.png,,,,,Wires Size,1.5sqmm,Ring Size,3.5mm,,,,,,,,,,,,,,,,,,,1715849813-Product-Screenshot 2024-05-16 125654.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, PSD-7439- Ring Terminals Double Grip (Pre-Insulated), Wires Size 1.5sqmm, Ring Size 4mm",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Double Grip,Pre-Insulated,PSD-7439,PSD-Series,PSD-7439,4.85 /Pc,970,Piece,(1 Pack of 200 No),1,"Dowell's, PSD-7439-Ring Terminals Double Grip (pre-Insulated)-Thimble-Wires Size-1.5 Sq.mm, Ring Size-4mm",1715852789-Product-Screenshot 2024-05-16 151615.png,,,,,Wires Size,1.5sqmm,Ring Size,4mm,,,,,,,,,,,,,,,,,,,1715849813-Product-Screenshot 2024-05-16 125654.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, PSD-7441- Ring Terminals Double Grip (Pre-Insulated), Wires Size1.5sqmm, Ring Size 3.5mm",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Double Grip,Pre-Insulated,PSD-7441,PSD-Series,PSD-7441,4.85 /Pc,970,Piece,(1 Pack of 200 No),1,"Dowell's, PSD-7441-Ring Terminals Double Grip (pre-Insulated)-Thimble-Wires Size-1.5 Sq.mm, Ring Size-3.5mm",1715852789-Product-Screenshot 2024-05-16 151615.png,,,,,Wires Size,1.5sqmm,Ring Size,3.5mm,,,,,,,,,,,,,,,,,,,1715849813-Product-Screenshot 2024-05-16 125654.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, PSD-7442- Ring Terminals Double Grip (Pre-Insulated), Wires Size 1.5sqmm, Ring Size 4mm",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Double Grip,Pre-Insulated,PSD-7442,PSD-Series,PSD-7442,4.85 /Pc,970,Piece,(1 Pack of 200 No),1,"Dowell's, PSD-7442-Ring Terminals Double Grip (pre-Insulated)-Thimble-Wires Size-1.5 Sq.mm, Ring Size-4mm",1715852789-Product-Screenshot 2024-05-16 151615.png,,,,,Wires Size,1.5sqmm,Ring Size,4mm,,,,,,,,,,,,,,,,,,,1715849813-Product-Screenshot 2024-05-16 125654.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, PSD-7444- Ring Terminals Double Grip (Pre-Insulated), Wires Size 1.5sqmm, Ring Size 4mm",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Double Grip,Pre-Insulated,PSD-7444,PSD-Series,PSD-7444,3.9 /Pc,780,Piece,(1 Pack of 200 No),1,"Dowell's, PSD-7444-Ring Terminals Double Grip (pre-Insulated)-Thimble-Wires Size-1.5 Sq.mm, Ring Size-4mm",1715852789-Product-Screenshot 2024-05-16 151615.png,,,,,Wires Size,1.5sqmm,Ring Size,4mm,,,,,,,,,,,,,,,,,,,1715849813-Product-Screenshot 2024-05-16 125654.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, PSD-7445- Ring Terminals Double Grip (Pre-Insulated), Wires Size 1.5sqmm, Ring Size 5mm",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Double Grip,Pre-Insulated,PSD-7445,PSD-Series,PSD-7445,3.9 /Pc,780,Piece,(1 Pack of 200 No),1,"Dowell's, PSD-7445-Ring Terminals Double Grip (pre-Insulated)-Thimble-Wires Size-1.5 Sq.mm, Ring Size-5mm",1715852789-Product-Screenshot 2024-05-16 151615.png,,,,,Wires Size,1.5sqmm,Ring Size,5mm,,,,,,,,,,,,,,,,,,,1715849813-Product-Screenshot 2024-05-16 125654.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, PSD-7446- Ring Terminals Double Grip (Pre-Insulated), Wires Size 1.5sqmm, Ring Size 4mm",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Double Grip,Pre-Insulated,PSD-7446,PSD-Series,PSD-7446,4.85 /Pc,970,Piece,(1 Pack of 200 No),1,"Dowell's, PSD-7446-Ring Terminals Double Grip (pre-Insulated)-Thimble-Wires Size-1.5 Sq.mm, Ring Size-4mm",1715852789-Product-Screenshot 2024-05-16 151615.png,,,,,Wires Size,1.5sqmm,Ring Size,4mm,,,,,,,,,,,,,,,,,,,1715849813-Product-Screenshot 2024-05-16 125654.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, PSD-7448- Ring Terminals Double Grip (Pre-Insulated), Wires Size 1.5sqmm, Ring Size 5mm",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Double Grip,Pre-Insulated,PSD-7448,PSD-Series,PSD-7448,4.85 /Pc,970,Piece,(1 Pack of 200 No),1,"Dowell's, PSD-7448-Ring Terminals Double Grip (pre-Insulated)-Thimble-Wires Size-1.5 Sq.mm, Ring Size-5mm",1715852789-Product-Screenshot 2024-05-16 151615.png,,,,,Wires Size,1.5sqmm,Ring Size,5mm,,,,,,,,,,,,,,,,,,,1715849813-Product-Screenshot 2024-05-16 125654.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, PSD-7449- Ring Terminals Double Grip (Pre-Insulated), Wires Size 1.5sqmm, Ring Size 6mm",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Double Grip,Pre-Insulated,PSD-7449,PSD-Series,PSD-7449,4.85 /Pc,970,Piece,(1 Pack of 200 No),1,"Dowell's, PSD-7449-Ring Terminals Double Grip (pre-Insulated)-Thimble-Wires Size-1.5 Sq.mm, Ring Size-6mm",1715852789-Product-Screenshot 2024-05-16 151615.png,,,,,Wires Size,1.5sqmm,Ring Size,6mm,,,,,,,,,,,,,,,,,,,1715849813-Product-Screenshot 2024-05-16 125654.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, PSD-7450- Ring Terminals Double Grip (Pre-Insulated), Wires Size 1.5sqmm, Ring Size 6mm",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Double Grip,Pre-Insulated,PSD-7450,PSD-Series,PSD-7450,5 /Pc,1000,Piece,(1 Pack of 200 No),1,"Dowell's, PSD-7450-Ring Terminals Double Grip (pre-Insulated)-Thimble-Wires Size-1.5 Sq.mm , Ring Size-6mm",1715852789-Product-Screenshot 2024-05-16 151615.png,,,,,Wires Size,1.5sqmm,Ring Size,6mm,,,,,,,,,,,,,,,,,,,1715849813-Product-Screenshot 2024-05-16 125654.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, PSD-7451- Ring Terminals Double Grip (Pre-Insulated), Wires Size 2.5sqmm, Ring Size 3mm",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Double Grip,Pre-Insulated,PSD-7451,PSD-Series,PSD-7451,4.85 /Pc,970,Piece,(1 Pack of 200 No),1,"Dowell's, PSD-7451-Ring Terminals Double Grip (pre-Insulated)-Thimble-Wires Size-2.5 Sq.mm, Ring Size-3mm",1715852789-Product-Screenshot 2024-05-16 151615.png,,,,,Wires Size,2.5sqmm,Ring Size,3mm,,,,,,,,,,,,,,,,,,,1715849813-Product-Screenshot 2024-05-16 125654.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, PSD-7452- Ring Terminals Double Grip (Pre-Insulated), Wires Size 2.5sqmm, Ring Size 3.5mm",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Double Grip,Pre-Insulated,PSD-7452,PSD-Series,PSD-7452,4.85 /Pc,970,Piece,(1 Pack of 200 No),1,"Dowell's, PSD-7452-Ring Terminals Double Grip (pre-Insulated)-Thimble-Wires Size-2.5 Sq.mm, Ring Size-3.5mm",1715852789-Product-Screenshot 2024-05-16 151615.png,,,,,Wires Size,2.5sqmm,Ring Size,3.5mm,,,,,,,,,,,,,,,,,,,1715849813-Product-Screenshot 2024-05-16 125654.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, PSD-7453- Ring Terminals Double Grip (Pre-Insulated), Wires Size 2.5sqmm, Ring Size 3.5mm",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Double Grip,Pre-Insulated,PSD-7453,PSD-Series,PSD-7453,4.9 /Pc,980,Piece,(1 Pack of 200 No),1,"Dowell's, PSD-7453-Ring Terminals Double Grip (pre-Insulated)-Thimble-Wires Size-2.5 Sq.mm, Ring Size-3.5mm",1715852789-Product-Screenshot 2024-05-16 151615.png,,,,,Wires Size,2.5sqmm,Ring Size,3.5mm,,,,,,,,,,,,,,,,,,,1715849813-Product-Screenshot 2024-05-16 125654.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, PSD-7454- Ring Terminals Double Grip (Pre-Insulated), Wires Size 2.5sqmm, Ring Size 4mm",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Double Grip,Pre-Insulated,PSD-7454,PSD-Series,PSD-7454,4.1 /Pc,820,Piece,(1 Pack of 200 No),1,"Dowell's, PSD-7454-Ring Terminals Double Grip (pre-Insulated)-Thimble-Wires Size-2.5 Sq.mm, Ring Size-4mm",1715852789-Product-Screenshot 2024-05-16 151615.png,,,,,Wires Size,2.5sqmm,Ring Size,4mm,,,,,,,,,,,,,,,,,,,1715849813-Product-Screenshot 2024-05-16 125654.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, PSD-7455- Ring Terminals Double Grip (Pre-Insulated), Wires Size 2.5sqmm, Ring Size 5mm",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Double Grip,Pre-Insulated,PSD-7455,PSD-Series,PSD-7455,4.1 /Pc,820,Piece,(1 Pack of 200 No),1,"Dowell's, PSD-7455-Ring Terminals Double Grip (pre-Insulated)-Thimble-Wires Size-2.5 Sq.mm, Ring Size-5mm",1715852789-Product-Screenshot 2024-05-16 151615.png,,,,,Wires Size,2.5sqmm,Ring Size,5mm,,,,,,,,,,,,,,,,,,,1715849813-Product-Screenshot 2024-05-16 125654.png,,,18%,,,,,,,,,1,1-2 Days,
"Dowell's, PSD-7456- Ring Terminals Double Grip (Pre-Insulated), Wires Size 2.5sqmm, Ring Size 5mm",Dowell's,Panel & Panel Accessories,Thimbles,Ring Terminals Double Grip,Pre-Insulated,PSD-7456,PSD-Series,PSD-7456,4.1 /Pc,820,Piece,(1 Pack of 200 No),1,"Dowell's, PSD-7456-Ring Terminals Double Grip (pre-Insulated)-Thimble-Wires Size-2.5 Sq.mm, Ring Size-5mm",1715852789-Product-Screenshot 2024-05-16 151615.png,,,,,Wires Size,2.5sqmm,Ring Size,5mm,,,,,,,,,,,,,,,,,,,1715849813-Product-Screenshot 2024-05-16 125654.png,,,18%,,,,,,,,,1,1-2 Days,
