name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Connectwell CA604/1- Shorting Links & Jumpers, 1.5 mm²",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CA604/1,,CA604/1,11.4,1140,Piece,(Pack of 100),1,"Connectwell CA604/1- Shorting Links & Jumpers, 1.5 mm²",,,,,,Size,1.5 mm²,Type of Product,1.5mm² Hook Type Lug for Spring Loaded TB,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CA604/2- Shorting Links & Jumpers, 2.5 mm²",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CA604/2,,CA604/2,12.8,1280,Piece,(Pack of 100),1,"Connectwell CA604/2- Shorting Links & Jumpers, 2.5 mm²",,,,,,Size,2.5 mm²,Type of Product,2.5mm² Hook Type Lug for Spring Loaded TB,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CA604/2N- Shorting Links & Jumpers, 2.5 mm²",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CA604/2N,,CA604/2N,1416.4,1416.4,Piece,Each,1,"Connectwell CA604/2N- Shorting Links & Jumpers, 2.5 mm²",,,,,,Size,2.5 mm²,Type of Product,2.5mm² Hook Type Lug for Spring Loaded TB,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CA604/5- Shorting Links & Jumpers, 4 mm²",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CA604/5,,CA604/5,13.7,1370,Piece,(Pack of 100),1,"Connectwell CA604/5- Shorting Links & Jumpers, 4 mm²",,,,,,Size,4 mm²,Type of Product,4 mm² Hook Type Lug for Spring Loaded TB,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CA604/6- Shorting Links & Jumpers, 35 mm²",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CA604/6,,CA604/6,47.3,4730,Piece,(Pack of 100),1,"Connectwell CA604/6- Shorting Links & Jumpers, 35 mm²",,,,,,Size,35 mm²,Type of Product,35 mm² Ring Type Lug,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CA604/7- Shorting Links & Jumpers, 25 mm²",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CA604/7,,CA604/7,38.6,3860,Piece,(Pack of 100),1,"Connectwell CA604/7- Shorting Links & Jumpers, 25 mm²",,,,,,Size,25 mm²,Type of Product,25 mm² Ring Type Lug for Spring Loaded TB,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CA607/L/Q- Shorting Links & Jumpers, 6 mm",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CA607/L/Q,,CA607/L/Q,7.5,750,Piece,(Pack of 100),1,"Connectwell CA607/L/Q- Shorting Links & Jumpers, 6 mm",,,,,,Size,6 mm,Type of Product,Long SLV Screw for Temp Shrt 6mm Wide TB,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CA607/S/Q- Shorting Links & Jumpers, 6 mm",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,Shorting Links & Jumpers,CA607/S/Q,,CA607/S/Q,6.7,670,Piece,(Pack of 100),1,"Connectwell CA607/S/Q- Shorting Links & Jumpers, 6 mm",,,,,,Size,6 mm,Type of Product,Short SLV Screw for Temp Shrt 6mm Wide TB,,,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CA621/2- 2P Shorting Links & Jumpers, 6 mm",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,2P Shorting Links & Jumpers,CA621/2,,CA621/2,31.2,3120,Piece,(Pack of 100),1,"Connectwell CA621/2- 2P Shorting Links & Jumpers, 6 mm",,,,,,Size,6 mm,No. of Poles,2 Pole,Type of Product,2P INS Pre Ass Shrt Link for 6mm Wide TB,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CA622/10- 10P Shorting Links & Jumpers, 6.7 mm",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,10P Shorting Links & Jumpers,CA622/10,,CA622/10,164.6,1646,Piece,(Pack of 10),1,"Connectwell CA622/10- 10P Shorting Links & Jumpers, 6.7 mm",,,,,,Size,6.7 mm,No. of Poles,10 Pole,Type of Product,10P INS Pre Ass Shrt Link for 6.7mm Wide TB,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CA622/2- 2P Shorting Links & Jumpers, 6.7 mm",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,2P Shorting Links & Jumpers,CA622/2,,CA622/2,33,3300,Piece,(Pack of 100),1,"Connectwell CA622/2- 2P Shorting Links & Jumpers, 6.7 mm",,,,,,Size,6.7 mm,No. of Poles,2 Pole,Type of Product,2P INS Pre Ass Shrt Link for 6.7mm Wide TB,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CA622/3- 3P Shorting Links & Jumpers, 6.7 mm",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,3P Shorting Links & Jumpers,CA622/3,,CA622/3,49.5,4950,Piece,(Pack of 100),1,"Connectwell CA622/3- 3P Shorting Links & Jumpers, 6.7 mm",,,,,,Size,6.7 mm,No. of Poles,3 Pole,Type of Product,3P INS Pre Ass Shrt Link for 6.7mm Wide TB,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CA622/4- 4P Shorting Links & Jumpers, 6.7 mm",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,4P Shorting Links & Jumpers,CA622/4,,CA622/4,65.9,6590,Piece,(Pack of 100),1,"Connectwell CA622/4- 4P Shorting Links & Jumpers, 6.7 mm",,,,,,Size,6.7 mm,No. of Poles,4 Pole,Type of Product,4P INS Pre Ass Shrt Link for 6.7mm Wide TB,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CA623/10- 10P Shorting Links & Jumpers, 6 mm",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,10P Shorting Links & Jumpers,CA623/10,,CA623/10,73.4,734,Piece,(Pack of 10),1,"Connectwell CA623/10- 10P Shorting Links & Jumpers, 6 mm",,,,,,Size,6 mm,No. of Poles,10 Pole,Type of Product,10P Pre Assem Shrt Link for 6mm Wide TB,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CA623/2- 2P Shorting Links & Jumpers, 6 mm",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,2P Shorting Links & Jumpers,CA623/2,,CA623/2,14.8,1480,Piece,(Pack of 100),1,"Connectwell CA623/2- 2P Shorting Links & Jumpers, 6 mm",,,,,,Size,6 mm,No. of Poles,2 Pole,Type of Product,2P Pre Assem Shrt Link for 6mm Wide TB,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CA623/3- 3P Shorting Links & Jumpers, 6 mm",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,3P Shorting Links & Jumpers,CA623/3,,CA623/3,22.1,2210,Piece,(Pack of 100),1,"Connectwell CA623/3- 3P Shorting Links & Jumpers, 6 mm",,,,,,Size,6 mm,No. of Poles,3 Pole,Type of Product,3P Pre Assem Shrt Link for 6mm Wide TB,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CA623/4- 4P Shorting Links & Jumpers, 6 mm",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,4P Shorting Links & Jumpers,CA623/4,,CA623/4,29.5,2950,Piece,(Pack of 100),1,"Connectwell CA623/4- 4P Shorting Links & Jumpers, 6 mm",,,,,,Size,6 mm,No. of Poles,4 Pole,Type of Product,4P Pre Assem Shrt Link for 6mm Wide TB,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CA624/10- 10P Shorting Links & Jumpers, 8 mm",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,10P Shorting Links & Jumpers,CA624/10,,CA624/10,82.5,825,Piece,(Pack of 10),1,"Connectwell CA624/10- 10P Shorting Links & Jumpers, 8 mm",,,,,,Size,8 mm,No. of Poles,10 Pole,Type of Product,10P Pre Assem Shrt Link for 8mm Wide TB,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CA624/2- 2P Shorting Links & Jumpers, 8 mm",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,2P Shorting Links & Jumpers,CA624/2,,CA624/2,16.6,1660,Piece,(Pack of 100),1,"Connectwell CA624/2- 2P Shorting Links & Jumpers, 8 mm",,,,,,Size,8 mm,No. of Poles,2 Pole,Type of Product,2P Pre Assem Shrt Link for 8mm Wide TB,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
"Connectwell CA624/3- 3P Shorting Links & Jumpers, 8 mm",Connectwell,Panel & Panel Accessories,Connectors,Terminal Blocks & Accessories,3P Shorting Links & Jumpers,CA624/3,,CA624/3,24.7,2470,Piece,(Pack of 100),1,"Connectwell CA624/3- 3P Shorting Links & Jumpers, 8 mm",,,,,,Size,8 mm,No. of Poles,3 Pole,Type of Product,3P Pre Assem Shrt Link for 8mm Wide TB,,,,,,,,,,,,,,,,,1726121399-Product-logo connectwell.PNG,,,18%,,7 Days,,,,,,,1,8-10 Days,
