id,name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
5352,"Schneider Electric LC1E0601M7- EasyPact TVS Power Contactor 6 A, 3 Pole, 220 V AC, 1 NC, AC3 Duty",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E0601M7,,LC1E0601M7,,636.85,,,,"Schneider Electric LC1E0601M7- EasyPact TVS Power Contactor 6 A, 3 Pole, 220 V AC, 1 NC, AC3 Duty",,,,,,Ampere/Current Rating,(6 A),Auxiliary Contact,1 NC,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716547036-Product-Screenshot 2024-05-24 160705.png,4871742091-Schneider-Ele,,18%,,,,,,,,,1,1-2 days,
5353,"Schneider Electric LC1E0901M7- Easypact TVS Power Contactor 9 A, 3 Pole, 220 V AC, 1 NC, AC3 Duty",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E0901M7,,LC1E0901M7,,653.3,,,,,,,,,,Ampere/Current Rating,(9 A),Auxiliary Contact,1 NC,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716547036-Product-Screenshot 2024-05-24 160705.png,6531275254-Schneider-Ele,,18%,,,,,,,,,1,1-2 days,
5354,"Schneider Electric LC1E0910M7- EasyPact TVS Power Contactor 9 A, 3 Pole, 220 V AC, 1 NO, AC3 Duty",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E0910M7,,LC1E0910M7,,653.3,,,,,,,,,,Ampere/Current Rating,(9 A),Auxiliary Contact,1 NO,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716547036-Product-Screenshot 2024-05-24 160705.png,1486626881-Schneider-Ele,,18%,,,,,,,,,1,1-2 days,
5355,"Schneider Electric LC1E1201M7- EasyPact TVS Power Contactor 12 A, 3 Pole, 220 V AC, 1 NC, AC3 Duty",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E1201M7,,LC1E1201M7,,744.95,,,,,,,,,,Ampere/Current Rating,(12 A),Auxiliary Contact,1 NC,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716547036-Product-Screenshot 2024-05-24 160705.png,6506091472-Schneider-Ele,,18%,,,,,,,,,1,1-2 days,
5356,"Schneider Electric LC1E1210M7- EasyPact TVS Power Contactor 12 A, 3 Pole, 220 V AC, 1 NO, AC3 Duty",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E1210M7,,LC1E1210M7,,744.95,,,,,,,,,,Ampere/Current Rating,(12 A),Auxiliary Contact,1 NO,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716547036-Product-Screenshot 2024-05-24 160705.png,6438489583-Schneider-Ele,,18%,,,,,,,,,1,1-2 days,
5357,"Schneider Electric LC1E1801M7- Easypact TVS Power Contactor 18 A, 3 Pole, 220 V AC, 1 NC, AC3 Duty",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E1801M7,,LC1E1801M7,,860.1,,,,,,,,,,Ampere/Current Rating,18 A,Auxiliary Contact,1 NC,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716547036-Product-Screenshot 2024-05-24 160705.png,4925852063-Schneider-Ele,,18%,,,,,,,,,1,1-2 days,
5358,"Schneider Electric LC1E1810M7- EasyPact TVS Power Contactor 18 A, 3 Pole, 220 V AC, 1 NO, AC3 Duty",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E1810M7,,LC1E1810M7,,860.1,,,,,,,,,,Ampere/Current Rating,18 A,Auxiliary Contact,1 NO,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716547036-Product-Screenshot 2024-05-24 160705.png,2025488645-Schneider-Ele,,18%,,,,,,,,,1,1-2 days,
5359,"Schneider Electric LC1E2501M7- EasyPact TVS Power Contactor 25 A, 3 Pole, 220 V AC, 1 NC, AC3 Duty",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E2501M7,,LC1E2501M7,,1172.65,,,,,,,,,,Ampere/Current Rating,25 A,Auxiliary Contact,1 NC,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716551521-Product-Screenshot 2024-05-24 172148.png,6076097656-Schneider-Ele,,18%,,,,,,,,,1,1-2 days,
5360,"Schneider Electric LC1E2510M7- EasyPact TVS Power Contactor 25 A, 3 Pole, 220 V AC, 1 NO, AC3 Duty",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E2510M7,,LC1E2510M7,,1172.65,,,,,,,,,,Ampere/Current Rating,25 A,Auxiliary Contact,1 NO,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716547036-Product-Screenshot 2024-05-24 160705.png,5275493118-Schneider-Ele,,18%,,,,,,,,,1,1-2 days,
5361,"Schneider Electric LC1E3201M7- EasyPact TVS Power Contactor 32 A, 3 Pole, 220 V AC, 1 NC, AC3 Duty",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E3201M7,,LC1E3201M7,,2455.75,,,,,,,,,,Ampere/Current Rating,32 A,Auxiliary Contact,1 NC,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716551794-Product-Screenshot 2024-05-24 172622.png,1870077291-Schneider-Ele,,18%,,,,,,,,,1,1-2 days,
5362,"Schneider Electric LC1E3801M7- EasyPact TVS Power Contactor 38 A, 3 Pole, 220 V AC, 1 NC, AC3 Duty",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E3801M7,,LC1E3801M7,,2902.25,,,,,,,,,,Ampere/Current Rating,38 A,Auxiliary Contact,1 NC,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716551794-Product-Screenshot 2024-05-24 172622.png,2415575860-Schneider-Ele,,18%,,,,,,,,,1,1-2 days,
5363,"Schneider Electric LC1E3810M7- EasyPact TVS Power Contactor 38 A, 3 Pole, 240 V AC, 1 NO, AC3 Duty",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E3810M7,,LC1E3810M7,,2902.25,,,,,,,,,,Ampere/Current Rating,38 A,Auxiliary Contact,1 NO,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716551794-Product-Screenshot 2024-05-24 172622.png,6121416291-Schneider-Ele,,18%,,,,,,,,,1,1-2 days,
5364,"Schneider Electric LC1E40B10M7- EasyPact TVS Power Contactor 40 A, 3 Pole, 220 V AC, 1 NO, AC3 Duty",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E40B10M7,,LC1E40B10M7,,3094.95,,,,,,,,,,Ampere/Current Rating,40 A,Auxiliary Contact,1 NO,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716552326-Product-Screenshot 2024-05-24 173517.png,7605399222-Schneider-Ele,,18%,,,,,,,,,1,1-2 days,
5365,"Schneider Electric LC1E40M7- EasyPact TVS Power Contactor 40 A, 3 Pole, 220 V AC, 1 NO + 1 NC, AC3 Duty",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E40M7,,LC1E40M7,,3844.6,,,,,,,,,,Ampere/Current Rating,40 A,Auxiliary Contact,1 NO + 1 NC,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716552377-Product-Screenshot 2024-05-24 173606.png,3689303544-Schneider-Ele,,18%,,,,,,,,,1,1-2 days,
5366,"Schneider Electric LC1E50M7- EasyPact TVS Power Contactor 50 A, 3 Pole, 220 V AC, 1 NO + 1 NC, AC3 Duty",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E50M7,,LC1E50M7,,4676.5,,,,,,,,,,Ampere/Current Rating,50 A,Auxiliary Contact,1 NO + 1 NC,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716552377-Product-Screenshot 2024-05-24 173606.png,3408652808-Schneider-Ele,,18%,,,,,,,,,1,1-2 days,
5367,"Schneider Electric LC1E65M7- EasyPact TVS Power Contactor 65 A, 3 Pole, 220 V AC, 1 NO + 1 NC, AC3 Duty",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E65M7,,LC1E65M7,,6335.6,,,,,,,,,,Ampere/Current Rating,65 A,Auxiliary Contact,1 NO + 1 NC,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716552377-Product-Screenshot 2024-05-24 173606.png,9774692210-Schneider-Ele,,18%,,,,,,,,,1,1-2 days,
5368,"Schneider Electric LC1E80M7- EasyPact TVS Power Contactor 80 A, 3 Pole, 240 V AC, 1 NO + 1 NC, AC3 Duty",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E80M7,,LC1E80M7,,8239.1,,,,,,,,,,Ampere/Current Rating,80 A,Auxiliary Contact,1 NO + 1 NC,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716552625-Product-Screenshot 2024-05-24 174010.png,9803011826-Schneider-Ele,,18%,,,,,,,,,1,1-2 days,
5369,"Schneider Electric LC1E95M7- EasyPact TVS Power Contactor 95 A, 3 Pole, 240 V AC, 1 NO + 1 NC, AC3 Duty",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E95M7,,LC1E95M7,,9874.7,,,,,,,,,,Ampere/Current Rating,95 A,Auxiliary Contact,1 NO + 1 NC,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole AC Control,,,,,,,,,,,,,1716552625-Product-Screenshot 2024-05-24 174010.png,2996481685-Schneider-Ele,,18%,,,,,,,,,1,1-2 days,
5370,"Schneider Electric LC1E630M7- EasyPact TVS Power Contactor 630 A, 3 Pole, 220 V AC, AC3 Duty",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E630M7,LC1,LC1E630M7,,85767.95,Piece,Each,1,"Schneider Electric LC1E630M7- EasyPact TVS Power Contactor 630 A, 3 Pole, 220 V AC, AC3 Duty",,,,,,Ampere/Current Rating,630 A,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole,,,,,,,,,,,,,,,1716793491-Product-Screenshot 2024-05-27 123113.png,3176668295-Schneider-Ele,,18%,,,,,,,,,1,1-2 Days,
5371,"Schneider Electric LC1E500M7- EasyPact TVS Power Contactor 500 A, 3 Pole, 220 V AC, AC3 Duty",Schneider Electric,Panel & Panel Accessories,Low Voltage Switch Gear,Contactors,EasyPact TVS Power Contactor,LC1E500M7,LC1,LC1E500M7,,"129,725",Piece,Each,1,"Schneider Electric LC1E500M7- EasyPact TVS Power Contactor 500 A, 3 Pole, 220 V AC, AC3 Duty",,,,,,Ampere/Current Rating,500 A,Coil Voltage,220V AC,Duty,AC3 Duty,No. Of Poles,3 Pole,,,,,,,,,,,,,,,1716794134-Product-Screenshot 2024-05-27 124512.png,7304525775-Schneider-Ele,,18%,,,,,,,,,,,
