name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
Polycab 2.5 Sq.mm x 8 Core Copper Flexible Multi Strand PVC FR Wire- 100Mtrs.,Polycab,Panel & Panel Accessories,Wires & Cables,Power Multi Core Cables,8 Core Industrial Multicore Copper Flexible FRLS Cable,,FRLS-PVC,,50700,26364,,,,,,,,,,Type of Core,8 Core,Nominal Area of Conductor,2.5 Sq.mm,Current Carrying Capacity,(24 A),Voltage Rating,1100 Volts,Cable Length,100Mtrs.,,,,,,,,,,,,,1720787269-Product-multi core.PNG,,,18%,,,,,,,,,1,4-6 days,
Polycab 0.5 sq.mm x 10 Core Copper Flexible Multi Strand PVC FR Wire- 100Mtrs.,Polycab,Panel & Panel Accessories,Wires & Cables,Power Multi Core Cables,10 Core Industrial Multicore Copper Flexible FRLS Cable,,FRLS-PVC,,15100,7852,,,,,,,,,,Type of Core,10 Core,Nominal Area of Conductor,0.5 sq.mm,Current Carrying Capacity,(5 A),Voltage Rating,1100 Volts,Cable Length,100Mtrs.,,,,,,,,,,,,,1720787269-Product-multi core.PNG,,,18%,,,,,,,,,1,4-6 days,
Polycab 0.75 Sq.mm x 10 Core Copper Flexible Multi Strand PVC FR Wire- 100Mtrs.,Polycab,Panel & Panel Accessories,Wires & Cables,Power Multi Core Cables,10 Core Industrial Multicore Copper Flexible FRLS Cable,,FRLS-PVC,,21300,11076,,,,,,,,,,Type of Core,10 Core,Nominal Area of Conductor,0.75 Sq.mm,Current Carrying Capacity,(8 A),Voltage Rating,1100 Volts,Cable Length,100Mtrs.,,,,,,,,,,,,,1720787269-Product-multi core.PNG,,,18%,,,,,,,,,1,4-6 days,
Polycab 1 Sq.mm x 10 Core Copper Flexible Multi Strand PVC FR Wire- 100Mtrs.,Polycab,Panel & Panel Accessories,Wires & Cables,Power Multi Core Cables,10 Core Industrial Multicore Copper Flexible FRLS Cable,,FRLS-PVC,,27200,14144,,,,,,,,,,Type of Core,10 Core,Nominal Area of Conductor,1 Sq.mm,Current Carrying Capacity,(13 A),Voltage Rating,1100 Volts,Cable Length,100Mtrs.,,,,,,,,,,,,,1720787269-Product-multi core.PNG,,,18%,,,,,,,,,1,4-6 days,
Polycab 1.5 Sq.mm x 10 Core Copper Flexible Multi Strand PVC FR Wire- 100Mtrs.,Polycab,Panel & Panel Accessories,Wires & Cables,Power Multi Core Cables,10 Core Industrial Multicore Copper Flexible FRLS Cable,,FRLS-PVC,,38100,19812,,,,,,,,,,Type of Core,10 Core,Nominal Area of Conductor,1.5 Sq.mm,Current Carrying Capacity,(17 A),Voltage Rating,1100 Volts,Cable Length,100Mtrs.,,,,,,,,,,,,,1720787269-Product-multi core.PNG,,,18%,,,,,,,,,1,4-6 days,
Polycab 2.5 Sq.mm x 10 Core Copper Flexible Multi Strand PVC FR Wire- 100Mtrs.,Polycab,Panel & Panel Accessories,Wires & Cables,Power Multi Core Cables,10 Core Industrial Multicore Copper Flexible FRLS Cable,,FRLS-PVC,,62500,32500,,,,,,,,,,Type of Core,10 Core,Nominal Area of Conductor,2.5 Sq.mm,Current Carrying Capacity,(24 A),Voltage Rating,1100 Volts,Cable Length,100Mtrs.,,,,,,,,,,,,,1720787269-Product-multi core.PNG,,,18%,,,,,,,,,1,4-6 days,
Polycab 0.5 sq.mm x 12 Core Copper Flexible Multi Strand PVC FR Wire- 100Mtrs.,Polycab,Panel & Panel Accessories,Wires & Cables,Power Multi Core Cables,12 Core Industrial Multicore Copper Flexible FRLS Cable,,FRLS-PVC,,17600,9152,,,,,,,,,,Type of Core,12 Core,Nominal Area of Conductor,0.5 sq.mm,Current Carrying Capacity,(5 A),Voltage Rating,1100 Volts,Cable Length,100Mtrs.,,,,,,,,,,,,,1720787269-Product-multi core.PNG,,,18%,,,,,,,,,1,4-6 days,
Polycab 0.75 Sq.mm x 12 Core Copper Flexible Multi Strand PVC FR Wire- 100Mtrs.,Polycab,Panel & Panel Accessories,Wires & Cables,Power Multi Core Cables,12 Core Industrial Multicore Copper Flexible FRLS Cable,,FRLS-PVC,,25000,13000,,,,,,,,,,Type of Core,12 Core,Nominal Area of Conductor,0.75 Sq.mm,Current Carrying Capacity,(8 A),Voltage Rating,1100 Volts,Cable Length,100Mtrs.,,,,,,,,,,,,,1720787269-Product-multi core.PNG,,,18%,,,,,,,,,1,4-6 days,
Polycab 1 Sq.mm x 12 Core Copper Flexible Multi Strand PVC FR Wire- 100Mtrs.,Polycab,Panel & Panel Accessories,Wires & Cables,Power Multi Core Cables,12 Core Industrial Multicore Copper Flexible FRLS Cable,,FRLS-PVC,,32100,16692,,,,,,,,,,Type of Core,12 Core,Nominal Area of Conductor,1 Sq.mm,Current Carrying Capacity,(13 A),Voltage Rating,1100 Volts,Cable Length,100Mtrs.,,,,,,,,,,,,,1720787269-Product-multi core.PNG,,,18%,,,,,,,,,1,4-6 days,
Polycab 1.5 Sq.mm x 12 Core Copper Flexible Multi Strand PVC FR Wire- 100Mtrs.,Polycab,Panel & Panel Accessories,Wires & Cables,Power Multi Core Cables,12 Core Industrial Multicore Copper Flexible FRLS Cable,,FRLS-PVC,,45000,23400,,,,,,,,,,Type of Core,12 Core,Nominal Area of Conductor,1.5 Sq.mm,Current Carrying Capacity,(17 A),Voltage Rating,1100 Volts,Cable Length,100Mtrs.,,,,,,,,,,,,,1720787269-Product-multi core.PNG,,,18%,,,,,,,,,1,4-6 days,
